doy,year,hod,PPFD,VPD,Patm,gb,Tref,Ps,Tair,CO2,u,ratiocrit,O2,Vmax25,gamstar25,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,albedo_l,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,LAI,max_leaf_width,g1,P50,P88,kmax,sref,fc,Tp,gmin_20,gmin_Tp,Tcrit,T50
[-],[-],[h],[umol m-2 s-1],[kPa],[kPa],[mol m-2 s-1],[deg C],[MPa],[deg C],[Pa],[m s-1],[-],[kPa],[umol m-2 s-1],[Pa],[-],[umol m-2 s-1],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[m2 m-2],[m],[kPa0.5],[-MPa],[-MPa],[mmol m-2 s-1 MPa-1],[MPa-1],[m3 m-3],[deg C],[mol m-2 s-1],[mol m-2 s-1],[deg C],[deg C]
306,2022,11.37555556,704,2.67310075,100.26,2.92188275,26.4825,NA,25.18,46.1196,0,0.05,20.8,117,4.22,1.42,0.525,25,39.96,27.48,0.3,0.7,0.99,0.83,0.93,0.97,0.15,0.05,0.01,0.001,60000,30000,37830,79430,36380,650,650,200000,200000,3.64,0.0726,5.34,5.74,7.84,5,1.82,0.34784,40,0.0014,0.014,50.618,50.672
311,2022,11.30861111,172.25,2.634388,101.94,2.9212135,32.645,NA,35.4,55.0476,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,11.28409722,546.75,2.691837,101.8,2.92102125,31.915,NA,32.99,54.2594,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,12.66222222,737,4.2853645,100.335,2.921126,31.37,-0.92,30.01,44.34807,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,12.70625,715,5.680103,101.8225,2.92162075,38.065,-4.063,40.02,51.929475,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,12.64159722,639.5,5.6810695,101.7125,2.92172775,37.9775,-2.539,36.08,45.363775,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,12.05048611,600.25,4.22017775,100.2875,2.9211515,29.0325,-0.697,24.23,45.530525,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,12.29798611,1068.25,3.83565725,101.86,2.92175975,35.6875,-1.901,39.87,52.55976,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,12.25354167,2071,5.36200375,101.7475,2.92185325,35.535,-3.117,36.55,51.5859825,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,12.54416667,197.25,2.21463175,100.3275,2.9212905,30.6075,-0.661,29.01,44.8463925,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,12.60013889,169.25,4.12658725,101.835,2.9214285,37.0975,-3.033,39.49,48.778965,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,12.53013889,741.75,5.11589075,101.7225,2.92226775,37.265,-1.171,36.77,48.623355,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,11.71777778,576.25,3.034573,100.265,2.9208255,28.875,-2.677,24.94,49.430645,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,11.72180556,458,2.9127355,101.9125,2.9218315,35.94,-0.897,39.39,55.7461375,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,11.6725,1221.75,3.1929865,101.7875,2.92095075,34.405,-4.1,36.44,46.7204625,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
