doy,year,hod,gs,PPFD,VPD,Patm,gb,Tref,Ps,Tair,CO2,u,ratiocrit,O2,Vmax25,gamstar25,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,albedo_l,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,LAI,max_leaf_width,g1,P50,P88,kmax,sref,fc,Tp,gmin_20,gmin_Tp
[-],[-],[h],[mol m-2 s-1],[umol m-2 s-1],[kPa],[kPa],[mol m-2 s-1],[deg C],[MPa],[deg C],[Pa],[m s-1],[-],[kPa],[umol m-2 s-1],[Pa],[-],[umol m-2 s-1],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[m2 m-2],[m],[kPa0.5],[-MPa],[-MPa],[mmol m-2 s-1 MPa-1],[MPa-1],[m3 m-3],[deg C],[mol m-2 s-1],[mol m-2 s-1]
306,2022,11.35354167,0.05223725,363.5,1.85797175,100.26,2.921055,26.205,-0.7,24.81,48.82662,0,0.05,20.8,117,4.22,1.42,0.525,25,39.96,27.48,0.3,0.7,0.99,0.83,0.93,0.97,0.15,0.05,0.01,0.001,60000,30000,37830,79430,36380,650,650,200000,200000,1.94,0.0344,5.34,4.07,5.5,5.38,1.82,0.34784,40,0.0014,0.014
311,2022,11.36222222,0.04374025,703.25,2.944149,101.94,2.92080275,33.2775,-0.63,35.4,55.0476,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,11.31631944,0.04752725,632.25,2.7275885,101.81,2.92107,32.1875,-0.583,34.13,52.12672,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,12.50472222,0.1127785,210,1.83856375,100.3225,2.92126625,30.485,-0.495,28.16,44.743835,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,12.578125,0.11216325,300.5,2.67434675,101.845,2.921719,37.015,-0.52,39.49,48.783755,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,12.50402778,0.1382465,1289.5,3.54128025,101.74,2.9216195,37.1075,-0.733,36.77,48.63172,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,11.82965278,0.05356275,1271,2.6333925,100.2725,2.9216955,29.5425,-0.655,24.6,45.4234425,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,11.86666667,0.02345125,949.625,3.819215,101.92125,2.92182725,36.48875,-0.601,40.09,53.91634125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,11.81905556,0.0418966,699,3.488829,101.788,2.921496,34.802,-0.996,36.56,52.522608,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,12.19722222,0.0729085,717.25,2.58673775,100.3025,2.9213935,29.145,-0.57,25.87,45.6376375,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,12.18201389,0.085016,123,2.2763185,101.8625,2.921954,35.7325,-0.286,40.44,47.060475,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,12.12833333,0.0924305,690.25,3.486407,101.76,2.92194075,35.36,-0.799,36.55,49.25184,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022,11.27027778,0.0548645,327.5,1.8557855,100.265,2.9208105,25.125,-0.496,25,50.33303,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022,11.44180556,0.07350075,1109.5,3.82985675,101.935,2.92099525,34.54,-0.198,35.53,52.19072,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2022,11.38680556,0.089362,755.75,3.3214175,101.7975,2.92184825,32.9225,-0.541,35.24,51.30594,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
