year,doy,hod,E,gs,gb,Pleaf,Tleaf,A,Ci
[-],[-],[h],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Mpa],[deg C],[umol m-2 s-1],[Pa]
2022,306,11.35354167,0.97254725,0.05223725,2.921055,-1.726,26.1625,0,0
2022,311,11.36222222,1.27275675,0.04374025,2.92080275,-1.791,33.67,0,0
2022,312,11.31631944,1.29880925,0.04752725,2.92107,-1.618,31.72,0,0
2022,306,12.50472222,1.96509975,0.1127785,2.92126625,-2.003,27.4375,0,0
2022,311,12.578125,2.79321325,0.11216325,2.921719,-1.722,33.5975,0,0
2022,312,12.50402778,4.84075125,0.1382465,2.9216195,-2.086,36.73,0,0
2022,306,11.82965278,1.4074965,0.05356275,2.9216955,-1.645,29.9,0,0
2022,311,11.86666667,0.833411375,0.02345125,2.92182725,-2.282,37.27125,0,0
2022,312,11.81905556,1.4203074,0.0418966,2.921496,-2.13,34.62,0,0
2022,306,12.19722222,1.85010975,0.0729085,2.9213935,-1.949,29.595,0,0
2022,311,12.18201389,1.85808925,0.085016,2.921954,-1.9,32.085,0,0
2022,312,12.12833333,3.3023165,0.0924305,2.92194075,-1.86,35.0525,0,0
2022,306,11.27027778,1.000173,0.0548645,2.9208105,-1.767,25.495,0,0
2022,311,11.44180556,2.84385075,0.07350075,2.92099525,-2.199,37.1925,0,0
2022,312,11.38680556,2.726049,0.089362,2.92184825,-2.128,33.93,0,0
