doy,hod,A(Const0.01),A(Const0.1),A(Const0.2),A(Const0.3),A(Const0.4),A(Const0.5),E(Const0.01),E(Const0.1),E(Const0.2),E(Const0.3),E(Const0.4),E(Const0.5),gs(Const0.01),gs(Const0.1),gs(Const0.2),gs(Const0.3),gs(Const0.4),gs(Const0.5),gb(Const0.01),gb(Const0.1),gb(Const0.2),gb(Const0.3),gb(Const0.4),gb(Const0.5),gmin(Const0.01),gmin(Const0.1),gmin(Const0.2),gmin(Const0.3),gmin(Const0.4),gmin(Const0.5),Ci(Const0.01),Ci(Const0.1),Ci(Const0.2),Ci(Const0.3),Ci(Const0.4),Ci(Const0.5),Tleaf(Const0.01),Tleaf(Const0.1),Tleaf(Const0.2),Tleaf(Const0.3),Tleaf(Const0.4),Tleaf(Const0.5),Pleaf(Const0.01),Pleaf(Const0.1),Pleaf(Const0.2),Pleaf(Const0.3),Pleaf(Const0.4),Pleaf(Const0.5),k(Const0.01),k(Const0.1),k(Const0.2),k(Const0.3),k(Const0.4),k(Const0.5),Rublim(Const0.01),Rublim(Const0.1),Rublim(Const0.2),Rublim(Const0.3),Rublim(Const0.4),Rublim(Const0.5),Ps(Const0.01),Ps(Const0.1),Ps(Const0.2),Ps(Const0.3),Ps(Const0.4),Ps(Const0.5)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
306,12.56944444,2.0372606921612713,11.32975254370997,12.921075479589117,13.425481375142637,13.697976744100352,13.869730547897593,0.2591358083287401,2.391574468935247,4.411554326456731,6.234638234280336,7.844601727154255,9.308305151449359,0.01,0.1,0.2,0.3,0.4,0.5,2.92179575,2.92179575,2.92179575,2.92179575,2.92179575,2.92179575,,,,,,,12.661746532392357,26.473284638360962,34.07671905450681,37.17373918227024,38.8150211746654,39.83073380616584,29.421660979572675,28.885763832187905,28.426619736763865,28.050232756185416,27.746918135781094,27.492880688164217,-0.7804559727532254,-1.2299276457919308,-1.6419433460774107,-1.97904710085644,-2.316150855635469,-2.6157986376612725,,,,,,,False,False,False,False,False,False,-0.743,-0.743,-0.743,-0.743,-0.743,-0.743
311,12.62561111,2.097929587345975,5.032882483730621,5.221053343771506,5.284822161578694,5.318382023521587,5.336800257089374,0.3825582900767822,3.432082249585322,6.32931354857455,8.839653355122925,10.930190973488088,12.871859079785997,0.01,0.1,0.2,0.3,0.4,0.5,2.9218416,2.9218416,2.9218416,2.9218416,2.9218416,2.9218416,,,,,,,18.295535364242184,43.65545430933381,47.517379428735076,48.87163028566469,49.56125293703861,49.97966871988295,39.95827113031824,39.26329347611337,38.70429639060543,38.291785961440034,38.00059801505818,37.76033167127341,-0.7812838048029332,-1.3835542432263999,-1.9858246816498666,-2.475169412868933,-2.926872241686533,-3.3032912657012,,,,,,,False,False,False,False,False,False,-0.706,-0.706,-0.706,-0.706,-0.706,-0.706
312,12.56183333,2.1648026595479006,12.468605548627444,14.46419668181821,15.203385944882667,15.659906414680586,15.947014243422746,0.41324387851086436,3.739871623519515,6.875260061781755,9.598287411989883,11.927164755760957,14.058327333402586,0.01,0.1,0.2,0.3,0.4,0.5,2.9220386,2.9220386,2.9220386,2.9220386,2.9220386,2.9220386,,,,,,,13.44038482746921,27.62162714578605,35.88271567525242,39.300952280376706,41.13051737811679,42.277008549988786,37.16853560250628,36.36369124777846,35.70516152567745,35.2063157375439,34.83240806542361,34.52551211888104,-0.8743390811848429,-1.543390811848429,-2.175273001919593,-2.732816110805915,-3.2160201385073934,-3.6620546256164506,,,,,,,False,False,False,False,False,False,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8
306,11.68555556,2.3397609766046807,11.206194169782808,12.219970264878022,12.525578506583194,12.685490516113129,12.784913754947631,0.2143422026758943,1.996686786776296,3.714670284078532,5.267332281489043,6.648977616111655,7.906838356535944,0.01,0.1,0.2,0.3,0.4,0.5,2.9214314999999997,2.9214314999999997,2.9214314999999997,2.9214314999999997,2.9214314999999997,2.9214314999999997,,,,,,,12.389990714669558,31.170144171747197,39.14943958090765,42.17751394438899,43.74988997441987,44.712041836223264,25.07877791622643,24.628921984026114,24.22974106688554,23.896633686913624,23.62186793205148,23.388346312917665,-0.4869383848135269,-0.8373838481352696,-1.1878293114570122,-1.499336389965228,-1.7719050836599166,-2.0444737773546056,,,,,,,False,False,False,False,False,False,-0.44799999999999995,-0.44799999999999995,-0.44799999999999995,-0.44799999999999995,-0.44799999999999995,-0.44799999999999995
311,11.69152778,2.493173561871026,11.775606351958695,14.164539598792077,15.33772601479534,16.138453781878074,16.920451176927905,0.39074523482682716,3.4974127842867415,6.278470555144297,8.695000102701346,10.82540008670063,12.584289490384316,0.01,0.1,0.2,0.3,0.4,0.5,2.9216175,2.9216175,2.9216175,2.9216175,2.9216175,2.9216175,,,,,,,16.34894741487262,36.92899956069443,44.37329390403836,47.45246064711524,49.12776693576182,50.16525276598703,40.564807509766425,39.74849545051359,39.11558331114688,38.63814555680525,38.26810924358754,38.00016635433288,-0.6288315434964007,-1.2434838914676059,-1.819720467690611,-2.280709728669015,-2.7416989896474186,-3.0874409353812218,,,,,,,True,False,False,False,False,False,-0.552,-0.552,-0.552,-0.552,-0.552,-0.552
312,11.64326389,2.0308253784672035,12.14029463276292,15.845596627979395,17.87494055676577,18.962425320812144,19.81413280263238,0.42033658599788754,3.7897152849653986,6.846993573377952,9.38266526694942,11.74517165633669,13.829951935331195,0.01,0.1,0.2,0.3,0.4,0.5,2.9213465,2.9213465,2.9213465,2.9213465,2.9213465,2.9213465,,,,,,,14.168790774440524,26.688793545348062,33.284070433718504,36.3784769150583,38.2366614460135,39.42740545276564,38.353824052596465,37.43852099009166,36.70506253934407,36.16707139849068,35.71885549165024,35.36288042254657,-0.8980978751546922,-1.5649787515469211,-2.194810690361804,-2.7134958164446488,-3.195132004950148,-3.6397192558783003,,,,,,,True,False,False,False,False,False,-0.8240000000000001,-0.8240000000000001,-0.8240000000000001,-0.8240000000000001,-0.8240000000000001,-0.8240000000000001
306,11.29796296,2.2158063302795377,10.226060016477899,11.20474732909385,11.516866370691496,11.686303669157203,11.79433431378421,0.20039335638937517,1.8665979747310284,3.4721603117952866,4.921692791895273,6.211553325539081,7.3854807126852675,0.01,0.1,0.2,0.3,0.4,0.5,2.920826833,2.920826833,2.920826833,2.920826833,2.920826833,2.920826833,,,,,,,13.844796637723384,32.2552864022431,39.49234444361615,42.24953876663618,43.68518951012843,44.56539174209248,25.09466734856351,24.6730989742964,24.299081863355436,23.987306592733535,23.73011219936347,23.511589812865658,-0.7317022039090044,-1.0710220390900436,-1.3726396703620782,-1.6742573016341131,-1.9381727289971433,-2.1643859524511697,,,,,,,False,False,False,False,False,False,-0.6940000000000001,-0.6940000000000001,-0.6940000000000001,-0.6940000000000001,-0.6940000000000001,-0.6940000000000001
311,11.41291667,2.343957508584089,12.505580732942642,14.495246955692654,15.193312829519368,15.63237019561667,16.00100111981287,0.3405205558132464,3.090190542471861,5.615574109456525,7.896965253180344,9.890735607556035,11.564817571443466,0.01,0.1,0.2,0.3,0.4,0.5,2.921585,2.921585,2.921585,2.921585,2.921585,2.921585,,,,,,,14.567440195766956,31.58507345503952,39.92921230014379,43.363768646599695,45.189563386598884,46.31976359407275,36.19396205653214,35.50545146259354,34.95066134888768,34.507981569341055,34.16414352684995,33.90850106657676,-0.9505652118381092,-1.5023043006239283,-2.017260783490693,-2.458652054519348,-2.863260719628949,-3.2310867788194946,,,,,,,True,False,False,False,False,False,-0.877,-0.877,-0.877,-0.877,-0.877,-0.877
312,11.36673611,2.337584468935068,14.32372059296316,17.98656910703099,19.68835104815816,20.635691044707187,21.302316909077692,0.3518935212572929,3.195324672778,5.807825132429113,7.995114348323234,9.977251256560367,11.752053025781798,0.01,0.1,0.2,0.3,0.4,0.5,2.92114375,2.92114375,2.92114375,2.92114375,2.92114375,2.92114375,,,,,,,14.649930191237672,28.50071755822331,36.868675331659276,40.708809952269284,42.901447186485186,44.29915147977448,35.962400651089055,35.17930238480923,34.535684982481676,34.0530235906699,33.658234738547904,33.33664079469732,-1.0723290309335867,-1.6509612784022791,-2.1572644949373854,-2.627403196005698,-3.0252128661404245,-3.3868580208083574,,,,,,,True,False,False,False,False,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
