doy,hod,A(Const0.01),A(Const0.1),A(Const0.2),A(Const0.3),A(Const0.4),A(Const0.5),E(Const0.01),E(Const0.1),E(Const0.2),E(Const0.3),E(Const0.4),E(Const0.5),gs(Const0.01),gs(Const0.1),gs(Const0.2),gs(Const0.3),gs(Const0.4),gs(Const0.5),gb(Const0.01),gb(Const0.1),gb(Const0.2),gb(Const0.3),gb(Const0.4),gb(Const0.5),gmin(Const0.01),gmin(Const0.1),gmin(Const0.2),gmin(Const0.3),gmin(Const0.4),gmin(Const0.5),Ci(Const0.01),Ci(Const0.1),Ci(Const0.2),Ci(Const0.3),Ci(Const0.4),Ci(Const0.5),Tleaf(Const0.01),Tleaf(Const0.1),Tleaf(Const0.2),Tleaf(Const0.3),Tleaf(Const0.4),Tleaf(Const0.5),Pleaf(Const0.01),Pleaf(Const0.1),Pleaf(Const0.2),Pleaf(Const0.3),Pleaf(Const0.4),Pleaf(Const0.5),k(Const0.01),k(Const0.1),k(Const0.2),k(Const0.3),k(Const0.4),k(Const0.5),Rublim(Const0.01),Rublim(Const0.1),Rublim(Const0.2),Rublim(Const0.3),Rublim(Const0.4),Rublim(Const0.5),Ps(Const0.01),Ps(Const0.1),Ps(Const0.2),Ps(Const0.3),Ps(Const0.4),Ps(Const0.5)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
306,11.35354167,2.2420955153127338,10.591856209205837,11.616349195014648,11.95498755073221,12.108622500316061,12.216150232157457,0.19088310674256337,1.7778136840624776,3.306485858858486,4.638421976244501,5.908796391419624,7.023706579571216,0.01,0.1,0.2,0.3,0.4,0.5,2.921055,2.921055,2.921055,2.921055,2.921055,2.921055,,,,,,,13.429497109016175,31.66121338825508,39.147586155959765,42.00469728035691,43.49894362461533,44.412618406586425,25.13940260100119,24.735594896441718,24.3772786973343,24.08948912371023,23.83325088743602,23.62426418221946,-0.726816914504764,-1.0218029740571692,-1.3167890336095742,-1.558141264152451,-1.7994934946953278,-2.0408457252382046,,,,,,,False,False,False,False,False,False,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
311,11.36222222,2.4798949454720045,13.509624900326493,15.974350087791166,16.967264373932846,17.577745105600876,17.995062746373506,0.32290067217098745,2.9273273158911293,5.31331288615743,7.400658529253435,9.243277825048036,10.912149963047613,0.01,0.1,0.2,0.3,0.4,0.5,2.92080275,2.92080275,2.92080275,2.92080275,2.92080275,2.92080275,,,,,,,15.239352067295023,32.765619184466566,41.51515377653095,45.189824668317804,47.17405544893507,48.42174841994543,36.49430286451617,35.812269972745646,35.260385218590976,34.83305660403481,34.49585344970098,34.21986793795668,-0.6843373465974679,-1.173373465974679,-1.6352409120531561,-2.015602338235431,-2.3959637644177065,-2.7491565173012478,,,,,,,True,False,False,False,False,False,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63
312,11.31631944,2.329045179500702,13.0202240902884,15.32136654491958,16.18222792914541,16.68981613471755,17.028512128894043,0.295424727024422,2.6889540111046966,4.897701777187516,6.84072115591743,8.555509283623028,10.10902520451258,0.01,0.1,0.2,0.3,0.4,0.5,2.9210700000000003,2.9210700000000003,2.9210700000000003,2.9210700000000003,2.9210700000000003,2.9210700000000003,,,,,,,14.787860978511425,30.686062640928274,39.1642128482515,42.73846104927568,44.66342387787659,45.869279543350636,35.075181572874165,34.45193854331899,33.941190585332336,33.541272944506225,33.22429051784794,32.96368964134722,-0.6378097084065131,-1.076287375658618,-1.4873601887074663,-1.8710281475530581,-2.199886397992137,-2.5287446484312155,,,,,,,True,False,False,False,False,False,-0.583,-0.583,-0.583,-0.583,-0.583,-0.583
306,12.50472222,1.9551916481769918,6.619675135724768,7.0348095773681205,7.173398000498692,7.258851498283922,7.3163605053228435,0.18408657396183767,1.7033781477170358,3.1487322279414354,4.469545147686972,5.632621947506501,6.691795949167003,0.01,0.1,0.2,0.3,0.4,0.5,2.92126625,2.92126625,2.92126625,2.92126625,2.92126625,2.92126625,,,,,,,13.857308627157533,34.01194166994904,38.88202928824085,40.64381280501281,41.54715359858511,42.097410329483466,28.22514900892849,27.853147129592568,27.532708955262667,27.26581963187423,27.05124826896778,26.870928138299,-0.522847065258533,-0.8013177178438623,-1.0797883704291917,-1.330411957755988,-1.5531884798242515,-1.748117936633982,,,,,,,False,False,False,False,False,False,-0.495,-0.495,-0.495,-0.495,-0.495,-0.495
311,12.578125,2.1013016817520964,8.165218611245953,8.95562732825118,9.219562355359951,9.389213958200925,9.542855207191517,0.27911938888606913,2.5027138399507396,4.498132176339051,6.333915160757245,7.919738584031683,9.182919431926326,0.01,0.1,0.2,0.3,0.4,0.5,2.921719,2.921719,2.921719,2.921719,2.921719,2.921719,,,,,,,15.085002105585396,35.34356874945518,41.21224118760818,43.43215199727989,44.582911574805905,45.28469825288397,39.94458660341434,39.39857375580404,38.97952416013836,38.6456360914722,38.394879546921835,38.22459552229806,-0.5754428742356589,-0.9912644310031002,-1.3516431135348828,-1.7120217960666653,-2.016957604362789,-2.266450538423254,,,,,,,False,False,False,False,False,False,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52
312,12.50402778,2.1910066693645605,14.697435680142375,19.623136014288484,22.350861335864895,23.977038468265395,25.124334823700014,0.4268173105215591,3.8019705764753664,6.923789284355162,9.471622950221466,11.762628123014645,13.825681326854282,0.01,0.1,0.2,0.3,0.4,0.5,2.9216195,2.9216195,2.9216195,2.9216195,2.9216195,2.9216195,,,,,,,13.529227145022894,24.47103904186845,31.96708728485904,35.668811585465505,37.916037795682286,39.3958015617837,39.03643157653149,38.09559001247893,37.32750854966591,36.77167283331212,36.32526028311061,35.96268701970152,-0.8129532560771063,-1.4525793046939572,-2.0389031825927373,-2.545273804414411,-3.0782955115951203,-3.611317218775829,,,,,,,True,False,False,False,False,False,-0.733,-0.733,-0.733,-0.733,-0.733,-0.733
306,11.82965278,2.1477711125863426,15.848972137077677,20.84387862740394,22.415453419216586,23.092110122265506,23.43827304906794,0.3031918778532514,2.8153131462910497,5.2224294619558576,7.311384722305276,9.146820385330956,10.776408517932268,0.01,0.1,0.2,0.3,0.4,0.5,2.9216955000000002,2.9216955000000002,2.9216955000000002,2.9216955000000002,2.9216955000000002,2.9216955000000002,,,,,,,11.509448283306462,19.71582845038233,28.033775751367305,32.610594412829926,35.2551165015628,36.94720341000929,26.724387780490414,26.021711811060694,25.395973557843877,24.89095660322633,24.476406907592573,24.13111409335727,-0.7090860903160608,-1.168817858002578,-1.6285496256890954,-2.034195303059552,-2.4127979352719775,-2.7373144771683426,,,,,,,True,False,False,False,False,False,-0.655,-0.655,-0.655,-0.655,-0.655,-0.655
311,11.86666667,2.3413068510016726,10.965206746343359,13.556614593628458,14.9621118889454,15.929833518343886,16.89915118139544,0.43918623570945525,3.9159513415861285,7.007730307068418,9.666093941963549,12.01777731894672,13.955244276832817,0.01,0.1,0.2,0.3,0.4,0.5,2.92182725,2.92182725,2.92182725,2.92182725,2.92182725,2.92182725,,,,,,,16.33747751217995,35.79907014541921,42.42842763761168,45.21829951533299,46.765171488658325,47.724024346737885,41.71381032516058,40.79090536231041,40.082316919001045,39.55538886812007,39.14675039883525,38.85205622686216,-0.68294320582585,-1.3384888524326506,-1.9120912932136012,-2.4583793320526017,-2.9500385670077023,-3.441697801962803,,,,,,,True,False,False,False,False,False,-0.601,-0.601,-0.601,-0.601,-0.601,-0.601
312,11.81905556,2.362671572976825,13.283748369192475,16.0236404877321,17.107425561923748,17.806878450184712,18.41864967909504,0.3759942884513044,3.397761777551152,6.151860587080479,8.600208115765552,10.748160495645458,12.548237322794867,0.01,0.1,0.2,0.3,0.4,0.5,2.921496,2.921496,2.921496,2.921496,2.921496,2.921496,,,,,,,14.652781756055774,30.652335789751167,38.98451250281343,42.59421460306439,44.55247876800192,45.77514541065367,37.576114308412144,36.80191933575466,36.18437368190335,35.70186365166705,35.32636061538627,35.04786143035916,-1.0719884319565034,-1.6292369329708611,-2.1611559566663843,-2.667745503043073,-3.174335049419762,-3.630265641158782,,,,,,,True,False,False,False,False,False,-0.996,-0.996,-0.996,-0.996,-0.996,-0.996
