doy,hod,A(Const0.01),A(Const0.1),A(Const0.2),A(Const0.3),A(Const0.4),A(Const0.5),E(Const0.01),E(Const0.1),E(Const0.2),E(Const0.3),E(Const0.4),E(Const0.5),gs(Const0.01),gs(Const0.1),gs(Const0.2),gs(Const0.3),gs(Const0.4),gs(Const0.5),gb(Const0.01),gb(Const0.1),gb(Const0.2),gb(Const0.3),gb(Const0.4),gb(Const0.5),gmin(Const0.01),gmin(Const0.1),gmin(Const0.2),gmin(Const0.3),gmin(Const0.4),gmin(Const0.5),Ci(Const0.01),Ci(Const0.1),Ci(Const0.2),Ci(Const0.3),Ci(Const0.4),Ci(Const0.5),Tleaf(Const0.01),Tleaf(Const0.1),Tleaf(Const0.2),Tleaf(Const0.3),Tleaf(Const0.4),Tleaf(Const0.5),Pleaf(Const0.01),Pleaf(Const0.1),Pleaf(Const0.2),Pleaf(Const0.3),Pleaf(Const0.4),Pleaf(Const0.5),k(Const0.01),k(Const0.1),k(Const0.2),k(Const0.3),k(Const0.4),k(Const0.5),Rublim(Const0.01),Rublim(Const0.1),Rublim(Const0.2),Rublim(Const0.3),Rublim(Const0.4),Rublim(Const0.5),Ps(Const0.01),Ps(Const0.1),Ps(Const0.2),Ps(Const0.3),Ps(Const0.4),Ps(Const0.5)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
306,11.37555556,2.0157960458384085,12.739046663939853,15.32086714185241,16.13555469400542,16.52244835741363,16.747038104845362,0.2657075002840657,2.5779399833712016,4.990727064483585,7.253739168147621,9.380502507241982,11.382962151880747,0.01,0.1,0.2,0.3,0.4,0.5,2.92188275,2.92188275,2.92188275,2.92188275,2.92188275,2.92188275,,,,,,,14.295643022812232,25.470458990363912,33.34495212374203,36.89946544112846,38.8460606153699,40.065473772740276,29.5525,29.5525,29.5525,29.5525,29.5525,29.5525,-8.633293781699663,-8.633293781699663,-8.633293781699663,-8.633293781699663,-8.633293781699663,-8.633293781699663,,,,,,,True,False,False,False,False,False,,,,,,
311,11.30861111,2.2856681706512045,5.498093388906513,5.670998165723157,5.724927469902688,5.751166102562254,5.766672253431288,0.25754371560883044,2.498716545628981,4.837321227995229,7.030725681791329,9.092045615649395,11.032863281300106,0.01,0.1,0.2,0.3,0.4,0.5,2.9212135,2.9212135,2.9212135,2.9212135,2.9212135,2.9212135,,,,,,,18.358454195758696,45.9884877459847,50.24174798320895,51.72314800260527,52.474961661157465,52.92949639594138,32.58,32.58,32.58,32.58,32.58,32.58,-8.633293781699663,-8.633293781699663,-8.633293781699663,-8.633293781699663,-8.633293781699663,-8.633293781699663,,,,,,,False,False,False,False,False,False,,,,,,
312,11.28409722,2.5143699957811556,14.051883047037098,15.791108073436238,16.285618781323755,16.51485719116832,16.64662650869216,0.26352191002618386,2.556712628642824,4.949587050247306,7.193882854333852,9.303021691021495,11.288855895404524,0.01,0.1,0.2,0.3,0.4,0.5,2.92102125,2.92102125,2.92102125,2.92102125,2.92102125,2.92102125,,,,,,,13.954556162887613,31.134474449369375,40.89284342453428,44.81285393772993,46.879702023145576,48.15123781762204,31.3875,31.3875,31.3875,31.3875,31.3875,31.3875,-8.633293781699663,-8.633293781699663,-8.633293781699663,-8.633293781699663,-8.633293781699663,-8.633293781699663,,,,,,,False,False,False,False,False,False,,,,,,
306,12.66222222,1.890881416535583,10.311930343191959,12.075902538902064,12.637608572920696,12.907487932017405,13.065380757653374,0.4256485076136212,4.129683460827132,7.994739126376077,11.619813141685388,15.026583243484085,18.23419259517894,0.01,0.1,0.2,0.3,0.4,0.5,2.9211259999999997,2.9211259999999997,2.9211259999999997,2.9211259999999997,2.9211259999999997,2.9211259999999997,,,,,,,14.47382789218242,27.621307082960314,34.27212318276225,37.12174786845481,38.66201757866673,39.62165370737087,36.3475,36.3475,36.3475,36.3475,36.3475,36.3475,-0.9975205405195946,-1.7339656754557433,-2.5479313509114867,-3.3231367561074325,-4.098342161303379,-4.951068107018919,,,,,,,True,False,False,False,False,False,-0.92,-0.92,-0.92,-0.92,-0.92,-0.92
311,12.70625,2.2902783968760225,10.385864614189536,11.47808496087524,11.80489538831732,11.960205686254795,12.050750796411261,0.5559407498851062,5.393818658856302,10.442059229224032,15.176902229727732,19.626652899898193,23.816307493075286,0.01,0.1,0.2,0.3,0.4,0.5,2.92162075,2.92162075,2.92162075,2.92162075,2.92162075,2.92162075,,,,,,,15.208693524303655,34.83463514921239,42.212034071879515,45.08082496341103,46.58414480687704,47.50696833319979,42.0375,42.0375,42.0375,42.0375,42.0375,42.0375,-4.200797802463306,-5.647674728328024,-8.633293781699663,-8.633293781699663,-8.633293781699663,-8.633293781699663,,,,,,,True,False,False,False,False,False,-4.063,-4.063,-4.063,-4.063,-4.063,-4.063
312,12.64159722,1.9457397916259316,9.250357804212387,10.414980608461272,10.773666936317156,10.945381242068459,11.045815937978748,0.5566367566397379,5.400577289303167,10.45515532935706,15.195952787544352,19.651308583139798,23.846248815539408,0.01,0.1,0.2,0.3,0.4,0.5,2.92172775,2.92172775,2.92172775,2.92172775,2.92172775,2.92172775,,,,,,,14.200798962753222,30.153983967366848,36.55543938468483,39.11970781747142,40.47685099186926,41.314025523296195,42.0,42.0,42.0,42.0,42.0,42.0,-2.66149836747135,-3.7027344909778255,-5.019591941294838,-7.377685515118326,-8.633293781699663,-8.633293781699663,,,,,,,True,False,False,False,False,False,-2.539,-2.539,-2.539,-2.539,-2.539,-2.539
306,12.05048611,1.9020064613479286,9.949605400718292,11.459016780645788,11.940936142360952,12.173992003663066,12.310922058835773,0.4193723117343786,4.068792248911356,7.876860707329916,11.448487728056485,14.805031093567294,17.965351440862694,0.01,0.1,0.2,0.3,0.4,0.5,2.9211515,2.9211515,2.9211515,2.9211515,2.9211515,2.9211515,,,,,,,15.494744888721801,29.399546628474333,35.97420144630562,38.70611791179689,40.17041865543743,41.079408296879315,35.245,35.245,35.245,35.245,35.245,35.245,-0.7767617465497454,-1.4946174654974536,-2.292234930994907,-3.049971523217488,-3.7678272421651964,-4.56544470766265,,,,,,,True,False,False,False,False,False,-0.6970000000000001,-0.6970000000000001,-0.6970000000000001,-0.6970000000000001,-0.6970000000000001,-0.6970000000000001
311,12.29798611,2.419037909799645,15.621531160927896,18.881405003199447,19.84072174607791,20.280941708323432,20.531851425761758,0.3752772557738404,3.6410000946243337,7.048734314472472,10.2449236343728,13.248673430620025,16.076855681761412,0.01,0.1,0.2,0.3,0.4,0.5,2.92175975,2.92175975,2.92175975,2.92175975,2.92175975,2.92175975,,,,,,,13.760244003519887,26.83376535049774,36.56533208900309,41.04205141161985,43.489835852543465,45.01968086272178,36.53,36.53,36.53,36.53,36.53,36.53,-1.9686612440371825,-2.645273684409008,-3.389547368818016,-4.133821053227024,-4.945755981673215,-5.926844020212362,,,,,,,True,False,False,False,False,False,-1.901,-1.901,-1.901,-1.901,-1.901,-1.901
312,12.25354167,2.2674307175798103,11.214079552678728,12.817951267282186,13.303468566406885,13.532819486497955,13.665921885178113,0.5251937358380117,5.095518656626743,9.864595405285726,14.337626593914377,18.541348402989396,22.499371667915852,0.01,0.1,0.2,0.3,0.4,0.5,2.92185325,2.92185325,2.92185325,2.92185325,2.92185325,2.92185325,,,,,,,15.25831052488288,33.14057700997455,40.74134037825951,43.87286742320629,45.54157358231451,46.573760940633896,40.1625,40.1625,40.1625,40.1625,40.1625,40.1625,-3.227880277019089,-4.308962977955204,-5.778126648458129,-8.633293781699663,-8.633293781699663,-8.633293781699663,,,,,,,True,False,False,False,False,False,-3.117,-3.117,-3.117,-3.117,-3.117,-3.117
