doy,hod,A(Const0.01),A(Const0.1),A(Const0.2),A(Const0.3),A(Const0.4),A(Const0.5),E(Const0.01),E(Const0.1),E(Const0.2),E(Const0.3),E(Const0.4),E(Const0.5),gs(Const0.01),gs(Const0.1),gs(Const0.2),gs(Const0.3),gs(Const0.4),gs(Const0.5),gb(Const0.01),gb(Const0.1),gb(Const0.2),gb(Const0.3),gb(Const0.4),gb(Const0.5),gmin(Const0.01),gmin(Const0.1),gmin(Const0.2),gmin(Const0.3),gmin(Const0.4),gmin(Const0.5),Ci(Const0.01),Ci(Const0.1),Ci(Const0.2),Ci(Const0.3),Ci(Const0.4),Ci(Const0.5),Tleaf(Const0.01),Tleaf(Const0.1),Tleaf(Const0.2),Tleaf(Const0.3),Tleaf(Const0.4),Tleaf(Const0.5),Pleaf(Const0.01),Pleaf(Const0.1),Pleaf(Const0.2),Pleaf(Const0.3),Pleaf(Const0.4),Pleaf(Const0.5),k(Const0.01),k(Const0.1),k(Const0.2),k(Const0.3),k(Const0.4),k(Const0.5),Rublim(Const0.01),Rublim(Const0.1),Rublim(Const0.2),Rublim(Const0.3),Rublim(Const0.4),Rublim(Const0.5),Ps(Const0.01),Ps(Const0.1),Ps(Const0.2),Ps(Const0.3),Ps(Const0.4),Ps(Const0.5)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
306,11.85548611,2.0049709815835106,11.298012612467318,12.974291170497875,13.487560861261551,13.731442536456235,13.873355860337439,0.2956252859411233,2.8681787756776633,5.5525527961249095,8.070241957534986,10.43630407529534,12.664036278717548,0.01,0.1,0.2,0.3,0.4,0.5,2.92089725,2.92089725,2.92089725,2.92089725,2.92089725,2.92089725,,,,,,,13.767436996533814,27.11097816035531,34.60775614225879,37.719271128417724,39.38166591765122,40.41141859775968,31.4075,31.4075,31.4075,31.4075,31.4075,31.4075,-0.8694249173608829,-1.289536714928388,-1.7590734298567763,-2.1791852274242816,-2.624009483672228,-3.044121281239733,,,,,,,False,False,False,False,False,False,-0.82,-0.82,-0.82,-0.82,-0.82,-0.82
311,11.91048611,2.3918783195342037,10.617383606641452,11.419236120063223,11.652942114067281,11.763227784377142,11.827292542347978,0.27657133003282236,2.6833425965399775,5.1947795124978144,7.55031747071538,9.764035763340644,11.848367885310026,0.01,0.1,0.2,0.3,0.4,0.5,2.92187775,2.92187775,2.92187775,2.92187775,2.92187775,2.92187775,,,,,,,14.304749471372666,35.19730482364629,43.012255060184636,45.92183859058879,47.426306902573195,48.34387729176256,34.515,34.515,34.515,34.515,34.515,34.515,-0.7724098419839985,-1.175688577855987,-1.6041722347199745,-2.0074509705919628,-2.3855247854719517,-2.763598600351941,,,,,,,False,False,False,False,False,False,-0.722,-0.722,-0.722,-0.722,-0.722,-0.722
312,11.84361111,2.4001971781900275,14.90116080413718,17.88407424235911,18.769843464664753,19.17875824494431,19.412662054856433,0.40802458958364574,3.958710384336983,7.663780952232735,11.138831583559964,14.404637692888295,17.479545902089402,0.01,0.1,0.2,0.3,0.4,0.5,2.92152125,2.92152125,2.92152125,2.92152125,2.92152125,2.92152125,,,,,,,14.052072991026897,27.999752128232814,37.38278463673854,41.633107621130065,43.95040352315405,45.39725708102716,36.6325,36.6325,36.6325,36.6325,36.6325,36.6325,-0.888227828302631,-1.4820504547236788,-2.100615690578937,-2.7439235358684053,-3.4119739905920845,-4.277965320789446,,,,,,,True,False,False,False,False,False,-0.8140000000000001,-0.8140000000000001,-0.8140000000000001,-0.8140000000000001,-0.8140000000000001,-0.8140000000000001
306,12.17208333,2.0543593808713583,7.611008814125587,8.069425905187341,8.207454493828,8.2735468318363,8.312255677970793,0.18104514980040382,1.7565099296243325,3.400447883431839,4.942299694066509,6.391288102495736,7.755557383408619,0.01,0.1,0.2,0.3,0.4,0.5,2.92068775,2.92068775,2.92068775,2.92068775,2.92068775,2.92068775,,,,,,,13.18944589751441,33.293727311545155,38.90369040046592,40.94252367315657,41.99039278070168,42.62778145349501,26.4575,26.4575,26.4575,26.4575,26.4575,26.4575,-0.5880089410925018,-0.8480983520175196,-1.1341967040350394,-1.3942861149600572,-1.628366584792573,-1.862447054625089,,,,,,,False,False,False,False,False,False,-0.562,-0.562,-0.562,-0.562,-0.562,-0.562
311,12.21118056,1.423396827611302,2.4739371764683695,2.5286718713746263,2.5463615373711828,2.5550820937234504,2.5602704490099373,0.2550034319066081,2.474074333481422,4.789623678219114,6.961411169915779,9.002421985963986,10.924123176920054,0.01,0.1,0.2,0.3,0.4,0.5,2.92136825,2.92136825,2.92136825,2.92136825,2.92136825,2.92136825,,,,,,,22.700718796184738,41.45741335310446,43.38918979652809,44.0528885411724,44.38832955056005,44.590725945469565,32.865,32.865,32.865,32.865,32.865,32.865,-0.3793997917327423,-0.732998437995567,-1.140996875991134,-1.4945955222539584,-1.8481941685167833,-2.1745929189132367,,,,,,,False,False,False,False,False,False,-0.325,-0.325,-0.325,-0.325,-0.325,-0.325
312,12.16805556,2.2207035560552004,12.77939222551797,14.679035932822245,15.240759866327977,15.503851829627742,15.655785140543866,0.3830906392938031,3.7167977027843624,7.195455083322771,10.458148666625252,13.52438432912087,16.41138757101642,0.01,0.1,0.2,0.3,0.4,0.5,2.921519,2.921519,2.921519,2.921519,2.921519,2.921519,,,,,,,13.668080571211725,28.22801899833848,36.82992105297069,40.413219943923785,42.32499020503784,43.50784994949041,36.225,36.225,36.225,36.225,36.225,36.225,-0.8409514463930832,-1.3905953866090268,-1.9902069577536925,-2.5648347134339975,-3.1644462845786636,-3.8390093021164127,,,,,,,True,False,False,False,False,False,-0.7659999999999999,-0.7659999999999999,-0.7659999999999999,-0.7659999999999999,-0.7659999999999999,-0.7659999999999999
306,11.75805556,2.2564153204171853,15.024738577768263,18.584311548112755,19.685683438349514,20.19706676738989,20.489875813789034,0.25910356537655854,2.5138451237044594,4.866598374289436,7.073263614500953,9.147037561453827,11.099573911362036,0.01,0.1,0.2,0.3,0.4,0.5,2.921008,2.921008,2.921008,2.921008,2.921008,2.921008,,,,,,,13.80649643151456,25.074652469938464,33.933848404661376,38.18145431746637,40.53933729727074,42.023544436141094,30.8225,30.8225,30.8225,30.8225,30.8225,30.8225,-0.6565857213809835,-1.0176857710478677,-1.4303715420957355,-1.7914715917626196,-2.1525716414295037,-2.513671691096388,,,,,,,True,False,False,False,False,False,-0.605,-0.605,-0.605,-0.605,-0.605,-0.605
311,11.775,2.5863747295016792,15.050479816136562,17.156889127418538,17.75433693836167,18.03009425536894,18.18817415839413,0.3398442047356524,3.297243147832604,6.383284496781807,9.277786805072152,11.998045508669401,14.559334582083688,0.01,0.1,0.2,0.3,0.4,0.5,2.92236275,2.92236275,2.92236275,2.92236275,2.92236275,2.92236275,,,,,,,14.241661111828499,30.95094846577608,41.20836485385231,45.43738117692639,47.6816557147942,49.0662249416027,36.3625,36.3625,36.3625,36.3625,36.3625,36.3625,-0.9575304449990739,-1.46710011748935,-2.000935012479163,-2.5105046849694395,-3.0200743574597153,-3.5781744749490656,,,,,,,True,False,False,False,False,False,-0.909,-0.909,-0.909,-0.909,-0.909,-0.909
312,11.71127778,2.027174381904727,13.520444489506541,16.947759549814887,18.044358381507937,18.557152423041234,18.851524064686494,0.37549263645305164,3.6430800493761555,7.052741367347477,10.250720930971298,13.256137985224417,16.085876584858532,0.01,0.1,0.2,0.3,0.4,0.5,2.9214976000000004,2.9214976000000004,2.9214976000000004,2.9214976000000004,2.9214976000000004,2.9214976000000004,,,,,,,13.007885553313677,23.24810070883259,31.151133693359284,35.02994612629445,37.204351874594494,38.57944887993766,35.75,35.75,35.75,35.75,35.75,35.75,-0.6130279324362599,-1.1593212230169883,-1.7576424460339766,-2.303935736614705,-2.850229027195433,-3.4485502502124215,,,,,,,True,False,False,False,False,False,-0.561,-0.561,-0.561,-0.561,-0.561,-0.561
