doy,hod,A(Const0.01),A(Const0.1),A(Const0.2),A(Const0.3),A(Const0.4),A(Const0.5),E(Const0.01),E(Const0.1),E(Const0.2),E(Const0.3),E(Const0.4),E(Const0.5),gs(Const0.01),gs(Const0.1),gs(Const0.2),gs(Const0.3),gs(Const0.4),gs(Const0.5),gb(Const0.01),gb(Const0.1),gb(Const0.2),gb(Const0.3),gb(Const0.4),gb(Const0.5),gmin(Const0.01),gmin(Const0.1),gmin(Const0.2),gmin(Const0.3),gmin(Const0.4),gmin(Const0.5),Ci(Const0.01),Ci(Const0.1),Ci(Const0.2),Ci(Const0.3),Ci(Const0.4),Ci(Const0.5),Tleaf(Const0.01),Tleaf(Const0.1),Tleaf(Const0.2),Tleaf(Const0.3),Tleaf(Const0.4),Tleaf(Const0.5),Pleaf(Const0.01),Pleaf(Const0.1),Pleaf(Const0.2),Pleaf(Const0.3),Pleaf(Const0.4),Pleaf(Const0.5),k(Const0.01),k(Const0.1),k(Const0.2),k(Const0.3),k(Const0.4),k(Const0.5),Rublim(Const0.01),Rublim(Const0.1),Rublim(Const0.2),Rublim(Const0.3),Rublim(Const0.4),Rublim(Const0.5),Ps(Const0.01),Ps(Const0.1),Ps(Const0.2),Ps(Const0.3),Ps(Const0.4),Ps(Const0.5)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa],[MPa]
306,11.35354167,2.2093510129779164,10.287231956567553,11.23287684794401,11.514283568524576,11.647854208691207,11.72566685104242,0.184683107114627,1.7918122792331252,3.4688036226459507,5.041668129142746,6.519811861277372,7.911541096589545,0.01,0.1,0.2,0.3,0.4,0.5,2.921055,2.921055,2.921055,2.921055,2.921055,2.921055,,,,,,,13.946928498302178,32.154135734478785,39.46284154752745,42.24919278005786,43.700877367160956,44.58954985557173,26.1625,26.1625,26.1625,26.1625,26.1625,26.1625,-0.726816914504764,-1.0218029740571692,-1.3436059481143383,-1.6385920076667433,-1.9335780672191483,-2.201747212266789,,,,,,,False,False,False,False,False,False,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
311,11.36222222,2.546730807977478,15.202317110625025,17.500805329624733,18.155661498308177,18.457615693006225,18.63055381414554,0.28782651188296954,2.792511800214412,5.406062478953626,7.857321276965947,10.160949578224898,12.329894387355639,0.01,0.1,0.2,0.3,0.4,0.5,2.92080275,2.92080275,2.92080275,2.92080275,2.92080275,2.92080275,,,,,,,14.16786709695024,29.993940336321568,40.21257183436183,44.501061792894276,46.787715026506035,48.201391320069106,33.67,33.67,33.67,33.67,33.67,33.67,-0.6843373465974679,-1.1462047926759449,-1.6352409120531561,-2.124277031430367,-2.586144477508844,-3.075180596886055,,,,,,,True,False,False,False,False,False,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63
312,11.31631944,2.404709930900098,14.571424181258784,16.826590327841075,17.472988982536286,17.77140929400988,17.94239043065196,0.26699565097609823,2.59041645081548,5.0148374929528154,7.288723399738398,9.425672361094614,11.437692632809503,0.01,0.1,0.2,0.3,0.4,0.5,2.9210700000000003,2.9210700000000003,2.9210700000000003,2.9210700000000003,2.9210700000000003,2.9210700000000003,,,,,,,13.57591936105873,28.143340102811454,37.88132354315613,41.98962503452452,44.18400438319776,45.54175196431466,31.72,31.72,31.72,31.72,31.72,31.72,-0.6378097084065131,-1.076287375658618,-1.514765042910723,-1.9532427101628278,-2.3917203774149325,-2.802793190463781,,,,,,,True,False,False,False,False,False,-0.583,-0.583,-0.583,-0.583,-0.583,-0.583
306,12.50472222,1.9805720015192554,6.687350909647627,7.039642643454357,7.146895679558618,7.198506841063656,7.228817460591749,0.18264013546883848,1.7719949871853704,3.4304466336073327,4.98592935304774,6.4477440192605355,7.824104087123212,0.01,0.1,0.2,0.3,0.4,0.5,2.92126625,2.92126625,2.92126625,2.92126625,2.92126625,2.92126625,,,,,,,13.456469017024116,33.899648243494596,38.87247461430334,40.65920828496186,41.57457855579167,42.13054107690292,27.4375,27.4375,27.4375,27.4375,27.4375,27.4375,-0.522847065258533,-0.8291647831023953,-1.1354825009462575,-1.413953153531587,-1.6924238061169166,-1.9708944587022459,,,,,,,False,False,False,False,False,False,-0.495,-0.495,-0.495,-0.495,-0.495,-0.495
311,12.578125,2.1782837785734097,9.543319202070847,10.252770879201073,10.46129466121933,10.560005803180957,10.617434544038051,0.2616942057573472,2.538998084231936,4.915329504088767,7.144141452517034,9.238757103881744,11.210942149380532,0.01,0.1,0.2,0.3,0.4,0.5,2.921719,2.921719,2.921719,2.921719,2.921719,2.921719,,,,,,,13.850897889572998,33.07295382238911,40.1023822132445,42.713839536924276,44.06372608137598,44.88694425521003,33.5975,33.5975,33.5975,33.5975,33.5975,33.5975,-0.5754428742356589,-0.9912644310031002,-1.4348074248883709,-1.8506289816558124,-2.266450538423254,-2.682272095190695,,,,,,,False,False,False,False,False,False,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52
312,12.50402778,2.2300300572547402,16.135871575347252,20.916100389940226,22.44005418334454,23.137343301311162,23.531841417126024,0.3468842781646653,3.3655220788420146,6.515417488332304,9.46976557080335,12.246227650228533,14.860400376356239,0.01,0.1,0.2,0.3,0.4,0.5,2.9216195,2.9216195,2.9216195,2.9216195,2.9216195,2.9216195,,,,,,,12.905875688436488,22.087449732451724,30.930927157445012,35.61724878929872,38.29371524684138,39.99746964964603,36.73,36.73,36.73,36.73,36.73,36.73,-0.7863021707180708,-1.372626048616851,-1.958949926515631,-2.545273804414411,-3.184899853031262,-3.931130243084255,,,,,,,True,False,False,False,False,False,-0.733,-0.733,-0.733,-0.733,-0.733,-0.733
306,11.82965278,2.0717386929419472,14.75387667198222,19.18295056957793,20.652584731765014,21.336310137537634,21.726302890384446,0.26172779278212605,2.539323344540479,4.915957961462233,7.145053208699811,9.239934151993056,11.212368142113922,0.01,0.1,0.2,0.3,0.4,0.5,2.9216955000000002,2.9216955000000002,2.9216955000000002,2.9216955000000002,2.9216955000000002,2.9216955000000002,,,,,,,12.712216087737552,21.502793377009276,29.423122401428433,33.61784310690189,36.02705405365779,37.56603303672394,29.9,29.9,29.9,29.9,29.9,29.9,-0.7090860903160608,-1.1417748128445477,-1.5744635353730345,-2.007152257901521,-2.4127979352719775,-2.845486657800465,,,,,,,True,False,False,False,False,False,-0.655,-0.655,-0.655,-0.655,-0.655,-0.655
311,11.86666667,2.4903969483713277,15.635776114086301,18.548947142479406,19.39071035772662,19.777136645644724,19.997663926751923,0.3734440325689734,3.6232163537330053,7.014311192495379,10.194898479137303,13.183989517041907,15.998373252705898,0.01,0.1,0.2,0.3,0.4,0.5,2.92182725,2.92182725,2.92182725,2.92182725,2.92182725,2.92182725,,,,,,,13.948264932354732,28.15212196515826,38.19488888850681,42.65379393243622,45.067041506297656,46.568617396695956,37.27125,37.27125,37.27125,37.27125,37.27125,37.27125,-0.68294320582585,-1.2838600485487506,-1.9120912932136012,-2.567636939820402,-3.250496988369153,-4.069929046627653,,,,,,,True,False,False,False,False,False,-0.601,-0.601,-0.601,-0.601,-0.601,-0.601
312,11.81905556,2.4242447147489017,15.073458545937056,17.60053184630228,18.326507880440612,18.660852076284996,18.85208373791992,0.3415852369925993,3.3141058465834705,6.415870825417409,9.325069060177542,12.059093323043076,14.633303033276334,0.01,0.1,0.2,0.3,0.4,0.5,2.921496,2.921496,2.921496,2.921496,2.921496,2.921496,,,,,,,13.667052543067967,27.71793283359799,37.624941096699885,41.89243169614633,44.18400125165296,45.605125139433284,34.62,34.62,34.62,34.62,34.62,34.62,-1.0719884319565034,-1.6292369329708611,-2.211814911304053,-2.8197223669560803,-3.50361825456461,-4.390149960723816,,,,,,,True,False,False,False,False,False,-0.996,-0.996,-0.996,-0.996,-0.996,-0.996
