doy,hod,A(std),A(therm),A(pmax),E(std),E(therm),E(pmax),gs(std),gs(therm),gs(pmax),gb(std),gb(therm),gb(pmax),gmin(std),gmin(therm),gmin(pmax),Ci(std),Ci(therm),Ci(pmax),Tleaf(std),Tleaf(therm),Tleaf(pmax),Pleaf(std),Pleaf(therm),Pleaf(pmax),k(std),k(therm),k(pmax),Rublim(std),Rublim(therm),Rublim(pmax),Ps(std),Ps(therm),Ps(pmax)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[degC],[degC],[degC],[MPa],[MPa],[MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[-],[-],[MPa],[MPa],[MPa]
306,12.07694444,10.919872968775225,15.69201767578759,15.69201767578759,1.7197996810880676,2.854047720865214,2.854047720865214,0.05201720272110219,0.08901969250865024,0.08901969250865024,2.92139875,2.92139875,2.92139875,,,,11.935830669170471,16.97169160581826,16.97169160581826,25.660939583547133,25.357142060078075,25.357142060078075,-2.508790655734731,-3.469944821805299,-3.469944821805299,,1.1024519940883166,1.1024519940883166,True,False,False,-1.169,-1.169,-1.169
311,12.264375,6.534041803058836,7.517936134316953,7.517936134316953,1.5269991094961102,2.7165989729037348,2.7165989729037348,0.06014986075646329,0.11374992669561988,0.11374992669561988,2.9213815,2.9213815,2.9213815,,,,27.84432379277515,34.57419543054101,34.57419543054101,40.1155776315455,39.83683171781769,39.83683171781769,-1.5901046818531366,-2.513408323294465,-2.513408323294465,,1.2452092228162077,1.2452092228162077,False,False,False,-0.40299999999999997,-0.40299999999999997,-0.40299999999999997
312,12.22104167,11.94527124948732,13.369947292475686,13.369947292475686,2.5735463222439634,3.1631948698422994,3.1631948698422994,0.06498847299356557,0.08113883690195589,0.08113883690195589,2.92187175,2.92187175,2.92187175,,,,21.569453244905006,24.54686712051791,24.54686712051791,37.66953553441845,37.51637474900335,37.51637474900335,-2.733207318269339,-3.234759147836674,-3.234759147836674,,1.1494582087155334,1.1494582087155334,False,False,False,-0.727,-0.727,-0.727
306,11.645,15.677706479576957,16.005111089698232,16.005111089698232,2.4217401604226856,2.661209686983047,2.661209686983047,0.12515978217669127,0.13917207919760763,0.13917207919760763,2.9206585,2.9206585,2.9206585,,,,28.878386101827186,30.44533127189999,30.44533127189999,25.044792431505137,24.985374731064685,24.985374731064685,-2.401291211327318,-2.5954937504301436,-2.5954937504301436,,1.2375589231388318,1.2375589231388318,False,False,False,-0.524,-0.524,-0.524
311,11.66458333,11.67712523311813,11.818361693104201,11.818361693104201,2.998895513311388,3.130365139695399,3.130365139695399,0.10273829745701944,0.10793615837859191,0.10793615837859191,2.92162,2.92162,2.92162,,,,37.58461527423411,38.225679033727495,38.225679033727495,39.76405808462094,39.731696190574475,39.731696190574475,-2.5665754308382773,-2.668078710439941,-2.668078710439941,,1.2301705936001377,1.2301705936001377,False,False,False,-0.23199999999999998,-0.23199999999999998,-0.23199999999999998
312,11.61069444,12.173469818391297,12.94369301713555,12.94369301713555,2.636975473738457,3.082525143250622,3.082525143250622,0.0864719486991836,0.10287349774291253,0.10287349774291253,2.92148125,2.92148125,2.92148125,,,,25.455552760911992,27.816630120189927,27.816630120189927,36.51740318316971,36.40826547303557,36.40826547303557,-2.6104183735457216,-2.9652402814988923,-2.9652402814988923,,1.193247042998663,1.193247042998663,False,False,False,-0.546,-0.546,-0.546
306,11.79131944,17.052496122536247,17.127951435190923,17.127951435190923,2.785761018930491,2.8288630504115777,2.8288630504115777,0.12181640666220511,0.12413747044703503,0.12413747044703503,2.92134725,2.92134725,2.92134725,,,,26.5978672687394,26.860784003151966,26.860784003151966,25.28237398783117,25.27154303348674,25.27154303348674,-2.765776180183786,-2.7978317122453125,-2.7978317122453125,,1.2154174182112083,1.2154174182112083,False,False,False,-0.586,-0.586,-0.586
311,11.80805556,6.191760584107367,9.799475524911495,9.799475524911495,1.2046483926638842,2.809310170118161,2.809310170118161,0.029943819570747827,0.07373931656212139,0.07373931656212139,2.92219425,2.92219425,2.92219425,,,,20.43048239402481,32.105037677691676,32.105037677691676,41.621377531985864,41.186083485105684,41.186083485105684,-1.7616760120970443,-3.0548224290329062,-3.0548224290329062,,1.1798389516762695,1.1798389516762695,True,False,False,-0.838,-0.838,-0.838
312,11.74777778,9.028334022305833,11.082847824637762,11.082847824637762,2.414153392359282,3.3882730826119145,3.3882730826119145,0.056880749455564254,0.08198832460008557,0.08198832460008557,2.92178675,2.92178675,2.92178675,,,,19.68532007600305,23.271302425118886,23.271302425118886,38.430579877198525,38.16528931823785,38.16528931823785,-2.525819105197889,-3.3502478634206874,-3.3502478634206874,,1.1274325113123016,1.1274325113123016,True,False,False,-0.655,-0.655,-0.655
