E_crebra_HW2,E_fibrosa_HW2,E_moluccana_HW2,E_sideroxylon_HW2,E_tereticornis_HW2,mean,model,variable
0.10010447968875302,-3.501046550039521,-5.466136148952478,-0.3194059663993567,-1.4381550676133652,-1.1967981815814865,std,gs
-0.5246850102245022,-1004.624568830195,-25.908401705686245,-0.7277972547043372,-0.3982869065529946,-2.1102386058708973,therm,gs
-0.5246850102245022,-1004.624568830195,-25.908401705686245,-0.7277972547043372,-0.3982869065529946,-2.1102386058708973,pmax,gs
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,std,Pleaf
-9.958875330908759,-2.5728370832324154,-7.49201773087071,-4.2948294148334565,-8.103707679450507,-5.513279971477549,therm,Pleaf
-9.958875330908759,-2.5728370832324154,-7.49201773087071,-4.2948294148334565,-8.103707679450507,-5.513279971477549,pmax,Pleaf
-0.49780699641250936,-4.836022597132737,-7.0003367877426985,-2.480491597771516,-0.7133901575708161,-2.001682370193479,std,E
-1.318762236130857,-542.315919070652,-26.132193734677067,-1.9508190241457104,0.04941297373272813,-2.5270211597803147,therm,E
-1.318762236130857,-542.315919070652,-26.132193734677067,-1.9508190241457104,0.04941297373272813,-2.5270211597803147,pmax,E
,,,,,,,
,,,,,,,
,,,,,,,
