doy,hod,A(driv),A(std),A(std_gmin),A(pmax),A(pmax_gmin),E(driv),E(std),E(std_gmin),E(pmax),E(pmax_gmin),gs(driv),gs(std),gs(std_gmin),gs(pmax),gs(pmax_gmin),gb(driv),gb(std),gb(std_gmin),gb(pmax),gb(pmax_gmin),gmin(driv),gmin(std),gmin(std_gmin),gmin(pmax),gmin(pmax_gmin),Ci(driv),Ci(std),Ci(std_gmin),Ci(pmax),Ci(pmax_gmin),Tleaf(driv),Tleaf(std),Tleaf(std_gmin),Tleaf(pmax),Tleaf(pmax_gmin),Pleaf(driv),Pleaf(std),Pleaf(std_gmin),Pleaf(pmax),Pleaf(pmax_gmin),k(driv),k(std),k(std_gmin),k(pmax),k(pmax_gmin),Rublim(driv),Rublim(std),Rublim(std_gmin),Rublim(pmax),Rublim(pmax_gmin),Ps(driv),Ps(std),Ps(std_gmin),Ps(pmax),Ps(pmax_gmin)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa]
306,12.07694444,15.533163097163765,10.919872968775225,18.927252219289233,22.140311778429766,22.140311778429766,3.09864432456956,1.7197996810880676,4.211641538596823,8.440494583237223,8.440494583237223,0.09697925,0.05201720272110219,0.13581293089030816,0.30548977433709396,0.30548977433709396,2.92139875,2.92139875,2.92139875,2.92139875,2.92139875,,,0.0015349147745885234,,0.0015057175471390747,19.574481715265996,11.935830669170471,22.69311364138171,33.04666341329679,33.04666341329679,25.29294962236609,25.660939583547133,25.005547345788816,23.992798479022284,23.992798479022284,-1.7223917925860848,-1.4602588382032025,-1.9262729793283264,-2.6835459586566524,-2.6835459586566524,,,,5.367677861011624,5.367677861011624,False,True,False,False,False,-1.169,-1.169,-1.169,-1.169,-1.169
311,12.264375,6.131401569484762,6.534041803058836,7.193161038237704,8.926552344583364,8.926552344583364,1.3724471027700862,1.5269991094961102,2.183919553922419,10.422055474123514,10.422055474123514,0.05358725,0.06014986075646329,0.0889909993732789,0.6439330625131625,0.6439330625131625,2.9213815,2.9213815,2.9213815,2.9213815,2.9213815,,,0.002014557753237094,,0.0019644131444158147,26.938277324331736,27.84432379277515,32.26289384167769,42.84389657666211,42.84389657666211,40.153642750592134,40.1155776315455,39.95855530326366,38.57823703400211,38.57823703400211,-0.6338259103603321,-0.6668010404118081,-0.7987015606177121,-2.249607282882657,-2.249607282882657,,,,5.527904976693515,5.527904976693515,False,False,False,False,False,-0.40299999999999997,-0.40299999999999997,-0.40299999999999997,-0.40299999999999997,-0.40299999999999997
312,12.22104167,10.044130534628849,11.94527124948732,16.46848519772361,21.184736698191045,21.184736698191045,2.2161139210308756,2.5735463222439634,5.092260031483368,11.880887257811716,11.880887257811716,0.0548795,0.06498847299356557,0.138838449064734,0.39872190314311806,0.39872190314311806,2.92187175,2.92187175,2.92187175,2.92187175,2.92187175,,,0.0019096295283211255,,0.0018620559437425908,21.843683768319078,21.569453244905006,31.81811118664524,42.04514888926631,42.04514888926631,37.76457927812984,37.66953553441845,37.03881001748866,35.64318513795823,35.64318513795823,-1.103163872175501,-1.165857850871418,-1.6360626910907943,-2.8585952756611728,-2.8585952756611728,,,,5.277122794389799,5.277122794389799,False,False,False,False,False,-0.727,-0.727,-0.727,-0.727,-0.727
306,11.645,15.330978487911825,15.677706479576957,16.548403342928776,17.86392794104106,17.86392794104106,2.3710698659840452,2.4217401604226856,3.2141996846688947,7.513213352000865,7.513213352000865,0.12231600000000001,0.12515978217669127,0.17191534799765504,0.48488317056025565,0.48488317056025565,2.9206585,2.9206585,2.9206585,2.9206585,2.9206585,,,0.0015296933923542072,,0.0015037903140454932,28.881119160369504,28.878386101827186,33.40542449379152,42.657535062217484,42.657535062217484,25.057442521476187,25.044792431505137,24.85076665360901,23.922550991313408,23.922550991313408,-0.944772168056123,-0.944772168056123,-1.074240527458007,-1.8510506838693108,-1.8510506838693108,,,,5.611939552692556,5.611939552692556,False,False,False,False,False,-0.524,-0.524,-0.524,-0.524,-0.524
311,11.66458333,10.295547996805718,11.67712523311813,12.728176898013839,16.32875540683413,16.32875540683413,2.2422846952880953,2.998895513311388,4.203907309660043,13.677287687284512,13.677287687284512,0.073837,0.10273829745701944,0.15176120838344614,0.7469596982826897,0.7469596982826897,2.92162,2.92162,2.92162,2.92162,2.92162,,,0.001997051298680534,,0.0019395043249865762,33.52664777835753,37.58461527423411,42.32282531095646,52.016080672372716,52.016080672372716,39.955242163324876,39.76405808462094,39.47699241454906,37.87831384040961,37.87831384040961,-0.6380131184066569,-0.7733508245422092,-0.9763573837455376,-2.668078710439941,-2.668078710439941,,,,5.374899208960601,5.374899208960601,False,False,False,False,False,-0.23199999999999998,-0.23199999999999998,-0.23199999999999998,-0.23199999999999998,-0.23199999999999998
312,11.61069444,10.373549799062312,12.173469818391297,14.176229097873685,17.288816360197135,17.288816360197135,2.094937799608731,2.636975473738457,4.11345184877987,10.706780133776515,10.706780133776515,0.0671215,0.0864719486991836,0.1426383477578185,0.47595591478527927,0.47595591478527927,2.92148125,2.92148125,2.92148125,2.92148125,2.92148125,,,0.0018800038464541666,,0.0018370901738080096,23.34765795983256,25.455552760911992,31.995862848793287,41.883970761302926,41.883970761302926,36.65352718759087,36.51740318316971,36.16513526202697,34.90282667191521,34.90282667191521,-0.900821907953171,-0.9975915192131266,-1.2556438159063417,-2.449135688112462,-2.449135688112462,,,,5.46460449649528,5.46460449649528,False,False,False,False,False,-0.546,-0.546,-0.546,-0.546,-0.546
306,11.79131944,15.139673152042274,17.052496122536247,18.323423187519857,19.813753464764446,19.813753464764446,2.1799295550088256,2.785761018930491,3.8503072597336816,8.333051050231239,8.333051050231239,0.0932835,0.12181640666220511,0.17511747650316137,0.4476935690336467,0.4476935690336467,2.92134725,2.92134725,2.92134725,2.92134725,2.92134725,,,0.0015345459335960952,,0.0015070661734678293,23.171215218917663,26.5978672687394,32.10691812284018,41.49961153142494,41.49961153142494,25.436081537734832,25.28237398783117,25.02109641096761,24.04190234459581,24.04190234459581,-0.9706663847383152,-1.066832980922894,-1.2591661732920516,-2.0605544748302083,-2.0605544748302083,,,,5.574016087172851,5.574016087172851,False,False,False,False,False,-0.586,-0.586,-0.586,-0.586,-0.586
311,11.80805556,7.175403110046359,6.191760584107367,15.588752845076334,15.52404085024214,15.52404085024214,1.6930702405162252,1.2046483926638842,11.734223806126659,11.634675713861412,11.634675713861412,0.04233825,0.029943819570747827,0.42327188876157307,0.4189353560314732,0.4189353560314732,2.92219425,2.92219425,2.92219425,2.92219425,2.92219425,,,0.0019904435123184747,,0.001991237223754668,26.414439789914557,20.43048239402481,47.36205935836804,47.19669360561578,47.19669360561578,41.486253226710296,41.621377531985864,39.30557607549754,39.32212161861558,39.32212161861558,-1.1458920040323481,-1.0535244028226436,-2.962454827823202,-2.9316656274199673,-2.9316656274199673,,,,5.234291972327288,5.234291972327288,False,True,False,False,False,-0.838,-0.838,-0.838,-0.838,-0.838
312,11.74777778,8.55060320491366,9.028334022305833,13.807113527486624,19.53350706978921,19.53350706978921,2.5071542969977463,2.414153392359282,5.122149438516522,12.872678958351425,12.872678958351425,0.058490999999999994,0.056880749455564254,0.13150967643832384,0.41608626426669154,0.41608626426669154,2.92178675,2.92178675,2.92178675,2.92178675,2.92178675,,,0.0019311540472501014,,0.0018755620160405071,21.682908864782082,19.68532007600305,27.96409321815548,37.038620360514145,37.038620360514145,38.40588764465283,38.430579877198525,37.71389895758783,36.039580010075,36.039580010075,-1.0989231775045838,-1.0672143791113993,-1.5428463550091678,-2.969742282702473,-2.969742282702473,,,,5.210742692545856,5.210742692545856,True,True,False,False,False,-0.655,-0.655,-0.655,-0.655,-0.655
