doy,hod,A(driv),A(std),A(std_gmin),A(pmax),A(pmax_gmin),E(driv),E(std),E(std_gmin),E(pmax),E(pmax_gmin),gs(driv),gs(std),gs(std_gmin),gs(pmax),gs(pmax_gmin),gb(driv),gb(std),gb(std_gmin),gb(pmax),gb(pmax_gmin),gmin(driv),gmin(std),gmin(std_gmin),gmin(pmax),gmin(pmax_gmin),Ci(driv),Ci(std),Ci(std_gmin),Ci(pmax),Ci(pmax_gmin),Tleaf(driv),Tleaf(std),Tleaf(std_gmin),Tleaf(pmax),Tleaf(pmax_gmin),Pleaf(driv),Pleaf(std),Pleaf(std_gmin),Pleaf(pmax),Pleaf(pmax_gmin),k(driv),k(std),k(std_gmin),k(pmax),k(pmax_gmin),Rublim(driv),Rublim(std),Rublim(std_gmin),Rublim(pmax),Rublim(pmax_gmin),Ps(driv),Ps(std),Ps(std_gmin),Ps(pmax),Ps(pmax_gmin)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa]
306,12.56944444,2.7098858878358403,10.10176738286403,11.760122358614117,13.928736956434895,13.928736956434895,0.34316219430993966,1.6513491453386162,2.5820710177871136,9.491044232134946,9.491044232134946,0.01328325,0.0671084890146069,0.10871868667685788,0.5197610966409267,0.5197610966409267,2.92179575,2.92179575,2.92179575,2.92179575,2.92179575,,,0.001644686653936298,,0.0016041497520201228,12.585863012436874,20.66387458485013,27.262578559797337,39.94025852738277,39.94025852738277,29.399548079666292,29.065821027856398,28.84044780137482,27.46601951340156,27.46601951340156,-0.8179119455064509,-1.080103754779029,-1.2673836185451564,-2.653254610414498,-2.653254610414498,,,,4.88076983682893,4.88076983682893,False,False,False,False,False,-0.743,-0.743,-0.743,-0.743,-0.743
311,12.62561111,2.6601148864927566,3.4134098512200435,4.446808631866194,5.2973315905921545,5.2973315905921545,0.5124455169251739,0.6961221517523472,1.42001472451507,9.173314389477532,9.173314389477532,0.013455000000000002,0.01839233405444371,0.03835044250706288,0.32006115541081964,0.32006115541081964,2.9218416,2.9218416,2.9218416,2.9218416,2.9218416,,,0.0020060911958419557,,0.001952616955328177,20.201785804306574,22.10382936245386,33.1869116225699,48.99551416328025,48.99551416328025,39.92628852245423,39.88142348491799,39.70870223311756,38.247884148370375,38.247884148370375,-0.8189257072043999,-0.8565676096058666,-1.0071352192117333,-2.5504532176718664,-2.5504532176718664,,,,4.899111290449053,4.899111290449053,False,False,False,False,False,-0.706,-0.706,-0.706,-0.706,-0.706
312,12.56183333,5.2729203520473495,9.78669485920271,13.003189107177079,15.454574855149202,15.454574855149202,1.026438129766242,2.086333582734422,4.061218904752863,10.494053700449324,10.494053700449324,0.0252866,0.053033488571461646,0.10945694963545885,0.33944631722541785,0.33944631722541785,2.9220386,2.9220386,2.9220386,2.9220386,2.9220386,,,0.0018836534098155835,,0.0018423392359925227,14.562522992537104,18.18071688877256,28.542315124307475,40.0604289999548,40.0604289999548,37.0117410801209,36.74972050756932,36.29180647608451,35.05931916602654,35.05931916602654,-1.0230172435545286,-1.208864946516636,-1.6177298930332717,-2.9186638137680223,-2.9186638137680223,,,,4.821867092556417,4.821867092556417,False,False,False,False,False,-0.8,-0.8,-0.8,-0.8,-0.8
306,11.68555556,10.008199771238065,11.23165742553717,11.750627037741491,12.807978172961919,12.807978172961919,1.3418725599008259,1.9091385542047086,2.501919587099115,7.967055061751431,7.967055061751431,0.065446,0.09523293407074944,0.12787003246146236,0.5090422810151481,0.5090422810151481,2.9214314999999997,2.9214314999999997,2.9214314999999997,2.9214314999999997,2.9214314999999997,,,0.0015196272239066965,,0.0014889667508468628,24.7916415205059,30.244545958984578,34.32145701100702,44.729654604083954,44.729654604083954,24.789960855799105,24.65016552271856,24.50801823089779,23.37920474464872,23.37920474464872,-0.7205686936946887,-0.8373838481352696,-0.9541990025758504,-2.0444737773546056,-2.0444737773546056,,,,4.960549823660745,4.960549823660745,False,False,False,False,False,-0.44799999999999995,-0.44799999999999995,-0.44799999999999995,-0.44799999999999995,-0.44799999999999995
311,11.69152778,6.547761980888146,10.126467273789933,12.472015178578927,17.108448421805846,17.108448421805846,1.1859237840009977,2.169442255109753,3.8533987270195973,13.273797086605601,13.273797086605601,0.03119525,0.05952371640542257,0.1123372997422573,0.5419961392490601,0.5419961392490601,2.9216175,2.9216175,2.9216175,2.9216175,2.9216175,,,0.002003266144060017,,0.0019403786867402562,22.448531243203398,28.598346268831058,37.97427048560498,50.42188592728339,50.42188592728339,40.34492741467855,40.083039035062306,39.66207673620005,37.90303475329803,37.90303475329803,-0.782494630489202,-0.9745734892302036,-1.3203154349640065,-3.241104022374023,-3.241104022374023,,,,4.724037547295198,4.724037547295198,True,False,False,False,False,-0.552,-0.552,-0.552,-0.552,-0.552
312,11.64326389,4.459551810234639,8.398616219870192,13.623763522851204,19.609478614741324,19.609478614741324,0.965121291755984,1.8791735000816159,4.325035130352582,12.741051438720739,12.741051438720739,0.0233355,0.047237332750179516,0.11738885344474216,0.45038642220478226,0.45038642220478226,2.9213465,2.9213465,2.9213465,2.9213465,2.9213465,,,0.001917974606137509,,0.0018587609282877237,15.958997324289253,17.798096727349535,27.453258886082352,38.78660844358203,38.78660844358203,38.19829208240382,37.94323388001147,37.302625578033336,35.54604219668607,35.54604219668607,-1.0092446878867303,-1.1944893757734607,-1.6761255642789594,-3.4174256304142236,-3.4174256304142236,,,,4.65637289489351,4.65637289489351,True,True,False,False,False,-0.8240000000000001,-0.8240000000000001,-0.8240000000000001,-0.8240000000000001,-0.8240000000000001
306,11.29796296,7.800519713800146,9.179623155613955,10.209902512812704,11.973589967538029,11.973589967538029,0.8868472723469707,1.1924656957405193,1.755432538416357,9.926041174622352,9.926041174622352,0.045546333,0.06203910294230782,0.09356633066728277,0.7636491513126877,0.7636491513126877,2.920826833,2.920826833,2.920826833,2.920826833,2.920826833,,,0.0015251948588212855,,0.0014811655056960692,21.503492082588316,25.108066958231724,31.17656413825949,45.75304513248564,45.75304513248564,24.91685789292713,24.839556338768972,24.700162955399097,23.091079632933255,23.091079632933255,-0.8825110195450219,-0.9202132234540261,-1.033319835181039,-2.6922168071772306,-2.6922168071772306,,,,4.87320208250969,4.87320208250969,False,False,False,False,False,-0.6940000000000001,-0.6940000000000001,-0.6940000000000001,-0.6940000000000001,-0.6940000000000001
311,11.41291667,7.011085208472117,9.286965725036639,12.750629936777788,15.710636590606956,15.710636590606956,1.115340335873056,1.500993264862638,3.1030403134471545,9.841589767071518,9.841589767071518,0.033638,0.045931396854216475,0.10044321041252056,0.40243777313903045,0.40243777313903045,2.921585,2.921585,2.921585,2.921585,2.921585,,,0.0018572786500017345,,0.0018128880899095285,18.497774247330845,19.378341559379404,31.271889408292978,45.14631326768219,45.14631326768219,35.9910300910623,35.89261828208897,35.50244049900305,34.17544756203587,34.17544756203587,-1.0976956355143277,-1.1712608473524369,-1.5023043006239283,-2.863260719628949,-2.863260719628949,,,,4.835644700464746,4.835644700464746,False,False,False,False,False,-0.877,-0.877,-0.877,-0.877,-0.877
312,11.36673611,9.052146003365321,9.481681185429721,15.935605538979985,20.997075950578154,20.997075950578154,1.555418529836957,1.48078743150272,3.723971510430956,10.524812031963727,10.524812031963727,0.04600175,0.04401676236454915,0.1196917293626257,0.43173356533729973,0.43173356533729973,2.92114375,2.92114375,2.92114375,2.92114375,2.92114375,,,0.001841771331336158,,0.0017925418902768689,20.218454263370944,17.144345815562147,30.02086123874073,43.31752046327197,43.31752046327197,35.62050275093621,35.6409085341742,35.042632997551664,33.55640170551402,33.55640170551402,-1.3254806392011396,-1.2893161237343462,-1.7594548248026591,-3.1337064125408043,-3.1337064125408043,,,,4.760152572855257,4.760152572855257,True,True,False,False,False,-1.0,-1.0,-1.0,-1.0,-1.0
