doy,hod,A(driv),A(std),A(std_gmin),A(pmax),A(pmax_gmin),E(driv),E(std),E(std_gmin),E(pmax),E(pmax_gmin),gs(driv),gs(std),gs(std_gmin),gs(pmax),gs(pmax_gmin),gb(driv),gb(std),gb(std_gmin),gb(pmax),gb(pmax_gmin),gmin(driv),gmin(std),gmin(std_gmin),gmin(pmax),gmin(pmax_gmin),Ci(driv),Ci(std),Ci(std_gmin),Ci(pmax),Ci(pmax_gmin),Tleaf(driv),Tleaf(std),Tleaf(std_gmin),Tleaf(pmax),Tleaf(pmax_gmin),Pleaf(driv),Pleaf(std),Pleaf(std_gmin),Pleaf(pmax),Pleaf(pmax_gmin),k(driv),k(std),k(std_gmin),k(pmax),k(pmax_gmin),Rublim(driv),Rublim(std),Rublim(std_gmin),Rublim(pmax),Rublim(pmax_gmin),Ps(driv),Ps(std),Ps(std_gmin),Ps(pmax),Ps(pmax_gmin)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa],[MPa]
306,11.37555556,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-0.030026,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,,,0.001666348830280923,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,,,,9999.0,9999.0,False,0.0,0.0,9999.0,9999.0,,,,,
311,11.30861111,3.2287948800454647,9999.0,9999.0,9999.0,9999.0,0.3969108753057139,9999.0,9999.0,9999.0,9999.0,0.01544,9999.0,9999.0,9999.0,9999.0,2.9212135,9999.0,9999.0,9999.0,9999.0,,,0.0017609135820209605,,9999.0,21.42637724640651,9999.0,9999.0,9999.0,9999.0,32.58,9999.0,9999.0,9999.0,9999.0,-8.633293781699663,9999.0,9999.0,9999.0,9999.0,,,,9999.0,9999.0,False,0.0,0.0,9999.0,9999.0,,,,,
312,11.28409722,7.531815483843647,9999.0,9999.0,9999.0,9999.0,0.8484539869053648,9999.0,9999.0,9999.0,9999.0,0.03244325,9999.0,9999.0,9999.0,9999.0,2.92102125,9999.0,9999.0,9999.0,9999.0,,,0.0017230412695740654,,9999.0,16.798153333749063,9999.0,9999.0,9999.0,9999.0,31.3875,9999.0,9999.0,9999.0,9999.0,-8.633293781699663,9999.0,9999.0,9999.0,9999.0,,,,9999.0,9999.0,False,0.0,0.0,9999.0,9999.0,,,,,
306,12.66222222,0.8382515599990457,5.3110097080234855,10.030226479270366,12.261794165019575,12.261794165019575,0.1967344759035465,1.190545816141197,3.4518947902683235,8.223543327148365,8.223543327148365,0.0046134999999999995,0.028143294782830383,0.08312037490993215,0.20612777100032217,0.20612777100032217,2.9211259999999997,2.9211259999999997,2.9211259999999997,2.9211259999999997,2.9211259999999997,,,0.0018861211178654326,,0.0018861211178654326,15.687395181225668,14.37207242126546,24.869107110148622,34.35914133614522,34.35914133614522,36.3475,36.3475,36.3475,36.3475,36.3475,-0.9587602702597974,-1.152561621558784,-1.6176848646763515,-2.586691621171284,-2.586691621171284,,,,4.805095653409731,4.805095653409731,True,True,False,False,False,-0.92,-0.92,-0.92,-0.92,-0.92
311,12.70625,0.45895202091729437,-0.09860436179510457,11.996518935541467,9.341996171873937,9.341996171873937,0.1219230646833861,1e-17,19.64271783762963,3.4111538242800563,3.4111538242800563,0.00218725,1e-17,0.4003722782573079,0.06245612209155661,0.06245612209155661,2.92162075,2.92162075,2.92162075,2.92162075,2.92162075,,,0.019272184194516397,,0.019272184194516397,18.364055182890638,6.615159695017827,46.57234406427201,27.51910429515134,27.51910429515134,42.0375,42.0375,42.0375,42.0375,42.0375,-4.085966300410551,-4.063,-8.633293781699663,-4.981652016422043,-4.981652016422043,,,,3.29507282811047,3.29507282811047,True,True,False,False,False,-4.063,-4.063,-4.063,-4.063,-4.063
312,12.64159722,2.373713543858836,-0.09824181425954459,10.947183299470858,9.69441596533628,9.69441596533628,0.6863834831659801,1e-17,18.304839158060723,6.018037978432746,6.018037978432746,0.01234075,1e-17,0.369130158647475,0.11187100586732227,0.11187100586732227,2.92172775,2.92172775,2.92172775,2.92172775,2.92172775,,,0.019159152009721684,,0.019159152009721684,14.536095618160775,6.633569544103715,40.110478294735366,31.02144651723864,31.02144651723864,42.0,42.0,42.0,42.0,42.0,-2.6921229593391875,-2.539,-8.633293781699663,-3.855857450317013,-3.855857450317013,,,,4.233476630252834,4.233476630252834,True,True,False,False,False,-2.539,-2.539,-2.539,-2.539,-2.539
306,12.05048611,3.78474190404701,7.145020569473378,9.859537422309558,11.70123681711004,11.70123681711004,0.8719236682377351,1.7868330604153413,3.6043730270699266,8.687161285038961,8.687161285038961,0.02086825,0.04308829335038448,0.08824102606843355,0.22213876471231292,0.22213876471231292,2.9211515,2.9211515,2.9211515,2.9211515,2.9211515,,,0.0018485867901458055,,0.0018485867901458055,16.798220604407945,19.087405482124165,27.476683213481675,36.66646873730556,36.66646873730556,35.245,35.245,35.245,35.245,35.245,-0.8565234930994907,-1.0559278594738541,-1.4148557189477082,-2.4517584240943977,-2.4517584240943977,,,,4.838606779010775,4.838606779010775,True,False,False,False,False,-0.6970000000000001,-0.6970000000000001,-0.6970000000000001,-0.6970000000000001,-0.6970000000000001
311,12.29798611,3.1773991190386335,-0.14977808280877314,16.516971514731924,18.947592828672775,18.947592828672775,0.4924841099811625,1e-17,3.7979736655638576,6.634225511583654,6.634225511583654,0.01313725,1e-17,0.1044654227980476,0.18748407674952758,0.18748407674952758,2.92175975,2.92175975,2.92175975,2.92175975,2.92175975,,,0.0018924073902655582,,0.0018924073902655582,13.731037911434157,5.6035298645102865,26.48768322529609,35.461948878983755,35.461948878983755,36.53,36.53,36.53,36.53,36.53,-2.002491866055774,-1.901,-2.6791043064275994,-3.2880555027622425,-3.2880555027622425,,,,4.551439098427687,4.551439098427687,True,True,False,False,False,-1.901,-1.901,-1.901,-1.901,-1.901
312,12.25354167,2.9831251081371812,-0.10169845724078441,13.50347514272619,11.68972073201579,11.68972073201579,0.7027355417099739,1e-17,16.351498339861358,5.345086226853876,5.345086226853876,0.013396000000000002,1e-17,0.34714460859568036,0.10507391662028605,0.10507391662028605,2.92185325,2.92185325,2.92185325,2.92185325,2.92185325,,,0.014361447197055162,,0.014361447197055162,15.872269079356911,6.877498673383508,44.733458044564884,33.19708017613466,33.19708017613466,40.1625,40.1625,40.1625,40.1625,40.1625,-3.283320415528633,-3.117,-8.633293781699663,-4.364403116464748,-4.364403116464748,,,,3.857194863444609,3.857194863444609,True,True,False,False,False,-3.117,-3.117,-3.117,-3.117,-3.117
