site_spp,A(driv),A(std),A(std_gmin),A(pmax),A(pmax_gmin),E(driv),E(std),E(std_gmin),E(pmax),E(pmax_gmin),gs(driv),gs(std),gs(std_gmin),gs(pmax),gs(pmax_gmin),gb(driv),gb(std),gb(std_gmin),gb(pmax),gb(pmax_gmin),gmin(std_gmin),gmin(pmax_gmin),Ci(driv),Ci(std),Ci(std_gmin),Ci(pmax),Ci(pmax_gmin),Tleaf(driv),Tleaf(std),Tleaf(std_gmin),Tleaf(pmax),Tleaf(pmax_gmin),Pleaf(driv),Pleaf(std),Pleaf(std_gmin),Pleaf(pmax),Pleaf(pmax_gmin),k(pmax),k(pmax_gmin),Rublim(driv),Rublim(std),Rublim(std_gmin),Rublim(pmax),Rublim(pmax_gmin),PPFD,VPD,Patm,Tref,Ps,Tair,CO2,doy,hod,E,gs,gb,Pleaf,Tleaf
E_crebra_HW2,13.546315159116494,6.743737519157082,15.339639637051768,18.80688523769537,18.80688523769537,2.9046301144842297,0.9784342540047091,3.4247198621041592,7.969738455032719,7.969738455032719,0.09697925,0.031964124859602955,0.11502762868914085,0.2824420504485773,0.2824420504485773,2.92139875,2.92139875,2.92139875,2.92139875,2.92139875,0.0017299663953533706,0.0017299663953533706,22.90187757452754,11.995543257458973,23.812774543666205,34.133128866642124,34.133128866642124,31.6075,31.6075,31.6075,31.6075,31.6075,-1.6932659087657642,-1.3437553029219216,-1.780643560226725,-2.596168307195692,-2.596168307195692,5.406892503631202,5.406892503631202,False,True,False,False,False,1173.0,3.10358225,100.2925,29.225,-1.169,24.23,45.532795,306,12.07694444,3.00424525,0.09697925,2.92139875,-2.366,31.6075
E_crebra_HW2,7.78762466453816,9.181866967087583,9.70871938563493,10.558292756705416,10.558292756705416,1.3224777545040491,2.069847859128271,2.8183057973622065,8.401443474249264,8.401443474249264,0.05358725,0.08474947366391647,0.11661825407752265,0.3774944602252488,0.3774944602252488,2.9213815,2.9213815,2.9213815,2.9213815,2.9213815,0.0017684745019318359,0.0017684745019318359,21.92115754482831,27.770479411865576,31.757699250501734,40.51546421913257,40.51546421913257,32.815,32.815,32.815,32.815,32.815,-0.6338259103603321,-0.7657264305662361,-0.8976269507721402,-1.8868808523164209,-1.8868808523164209,5.606322893673763,5.606322893673763,False,False,False,False,False,310.0,2.55984725,101.8575,35.6225,-0.40299999999999997,39.92,45.530302500000005,311,12.264375,1.37454875,0.05358725,2.9213815,-2.116,32.815
E_crebra_HW2,10.877151542331944,14.447920204531831,18.007583664047413,19.626050606274763,19.626050606274763,1.9842021565601955,2.821006675782304,5.306877870503917,9.346257407682126,9.346257407682126,0.0548795,0.07864699660631043,0.15154522714596555,0.2778648772796953,0.2778648772796953,2.92187175,2.92187175,2.92187175,2.92187175,2.92187175,0.0018815701999075954,0.0018815701999075954,19.411038458727557,21.557710869862625,31.754971056135002,39.35892737546325,39.35892737546325,36.215,36.215,36.215,36.215,36.215,-1.0718168828275427,-1.2285518295673348,-1.6674096804387526,-2.3883904354417966,-2.3883904354417966,5.485613530381792,5.485613530381792,True,False,False,False,False,1049.25,3.7484835,101.765,35.355,-0.727,36.55,51.594854999999995,312,12.22104167,2.031698,0.0548795,2.92187175,-2.299,36.215
E_crebra_HW2,14.778262501872947,14.95843132472518,15.895744293175404,17.256746144938592,17.256746144938592,2.311164775990978,2.25695012854718,3.1094130173143224,8.419243258507349,8.419243258507349,0.122316,0.11932951670261978,0.16697774434987034,0.5010351963233378,0.5010351963233378,2.9206585,2.9206585,2.9206585,2.9206585,2.9206585,0.0016050707294874447,0.0016050707294874447,29.62033149353077,28.899701595893692,33.603146009050015,43.0682086211019,43.0682086211019,27.4975,27.4975,27.4975,27.4975,27.4975,-0.944772168056123,-0.912405078205652,-1.0742405274580071,-2.0128861331216656,-2.0128861331216656,5.583769959471719,5.583769959471719,False,False,False,False,False,604.0,1.97385175,100.265,28.55,-0.524,24.8,49.33038,306,11.645,2.371673,0.12231600000000001,2.9206585,-2.613,27.4975
E_crebra_HW2,14.732063738473125,19.227323997963232,19.90580662348741,20.593646568456602,20.593646568456602,2.027928721626225,4.5271906064281495,6.0767006133109716,9.957693887387164,9.957693887387164,0.073837,0.17013435880598882,0.23300998633188874,0.4023185157174026,0.4023185157174026,2.92162,2.92162,2.92162,2.92162,2.92162,0.0018165127297537344,0.0018165127297537344,23.736399165162624,37.370882157955975,41.7529334510397,47.160142040185306,47.160142040185306,34.285,34.285,34.285,34.285,34.285,-0.6041786918727687,-1.0440262368133135,-1.3147016490844183,-1.99139017976218,-1.99139017976218,5.587941284043187,5.587941284043187,False,False,False,False,False,702.75,2.8702520000000002,101.93,35.7325,-0.23199999999999998,39.22,56.367290000000004,311,11.66458333,2.061449,0.073837,2.92162,-2.3480000000000003,34.285
E_crebra_HW2,11.927542487705916,15.542893694497455,17.143093461046966,18.53719902828732,18.53719902828732,1.9678146561498284,3.199298604163741,4.8263930050456665,9.64295371192664,9.64295371192664,0.0671215,0.11071893963564332,0.17031081693896624,0.3612937700236614,0.3612937700236614,2.92148125,2.92148125,2.92148125,2.92148125,2.92148125,0.0017833686990125991,0.0017833686990125991,19.588787478347186,25.383607968204277,31.65626792708041,39.438357781858564,39.438357781858564,33.275,33.275,33.275,33.275,33.275,-0.9008219079531709,-1.0943611304730825,-1.3846699642529492,-2.2555964655925504,-2.2555964655925504,5.526235622852584,5.526235622852584,False,False,False,False,False,672.5,3.0529105,101.795,34.38,-0.546,36.09,48.556215,312,11.61069444,2.01221825,0.0671215,2.92148125,-2.301,33.275
E_crebra_HW2,14.17898385016422,15.529955490687994,16.981505234418538,18.53757927993924,18.53757927993924,2.090893717778582,2.468543602039959,3.622581374448104,8.333051050231239,8.333051050231239,0.0932835,0.11077089690687154,0.1654895475360952,0.4109473472893532,0.4109473472893532,2.92134725,2.92134725,2.92134725,2.92134725,2.92134725,0.0016577126647625395,0.0016577126647625395,24.841766284220977,26.638463981886147,32.487703103719824,41.44562221593092,41.44562221593092,29.2675,29.2675,29.2675,29.2675,29.2675,-0.9386108526767888,-1.0347774488613677,-1.2271106412305253,-2.0605544748302083,-2.0605544748302083,5.5740160871728515,5.5740160871728515,False,False,False,False,False,722.0,2.31937375,100.275,29.405,-0.586,24.94,49.435575,306,11.79131944,2.1505330000000002,0.0932835,2.92134725,-2.14,29.2675
E_crebra_HW2,9.52734882326916,14.590825390278013,18.955420496146147,20.63954335408787,20.63954335408787,1.4498954481179336,2.406688277860037,4.918997202421165,8.824862218716754,8.824862218716754,0.04233825,0.07095587222272394,0.14879735292372195,0.2781959941702133,0.2781959941702133,2.92219425,2.92219425,2.92219425,2.92219425,2.92219425,0.0018903383621882593,0.0018903383621882593,17.45438141956604,20.317167410566228,32.62971727770873,41.01983260464416,41.01983260464416,36.47,36.47,36.47,36.47,36.47,-1.0843136032258784,-1.269048805645287,-1.7000976112905746,-2.4082492205649757,-2.4082492205649757,5.478919490157902,5.478919490157902,True,False,False,False,False,986.0,3.540786,101.9175,36.2375,-0.838,40.09,53.914357499999994,311,11.80805556,1.485965,0.04233825,2.92219425,-1.476,36.47
E_crebra_HW2,10.037368858220734,14.406498650483547,17.829529085408364,19.80757541275348,19.80757541275348,2.1285061310369024,3.3880856005948004,5.9355916148062375,10.677846577289737,10.677846577289737,0.058491,0.094220220374997,0.16916628803043174,0.31908217485548485,0.31908217485548485,2.92178675,2.92178675,2.92178675,2.92178675,2.92178675,0.001862457093170174,0.001862457093170174,17.60021399100343,20.380517224945823,27.810821015204887,34.6044952595956,34.6044952595956,35.655,35.655,35.655,35.655,35.655,-1.0355055807182147,-1.2574671694705066,-1.7013903469750904,-2.5575279035910734,-2.5575279035910734,5.423037319873563,5.423037319873563,True,False,False,False,False,1383.5,3.7787879999999996,101.8025,34.6325,-0.655,36.58,45.505717499999996,312,11.74777778,2.218121,0.058490999999999994,2.92178675,-2.4,35.655
E_crebra_HW2,6.548482172587748,14.02499057304392,18.004801540244628,20.811900315869167,20.811900315869167,0.7222681599855939,1.7862325825932797,3.2754839638499216,7.924656751288557,7.924656751288557,0.0311705,0.07831866091153485,0.14690021370132506,0.38273160003980106,0.38273160003980106,2.92066525,2.92066525,2.92066525,2.92066525,2.92066525,0.0016261313926329895,0.0016261313926329895,15.454222341005694,19.9840622381549,28.694442773067088,39.287624252673616,39.287624252673616,28.2125,28.2125,28.2125,28.2125,28.2125,-0.9974130830199744,-1.181032707549936,-1.4564621443448784,-2.282750454729705,-2.282750454729705,5.5184958653528176,5.5184958653528176,True,False,False,False,False,1111.75,2.34838125,100.2775,25.8475,-0.875,24.81,48.835142499999996,306,11.32652778,0.7290705,0.031170499999999997,2.92066525,-1.9,28.2125
