doy,hod,A(std),A(therm),A(pmax),E(std),E(therm),E(pmax),gs(std),gs(therm),gs(pmax),gb(std),gb(therm),gb(pmax),gmin(std),gmin(therm),gmin(pmax),Ci(std),Ci(therm),Ci(pmax),Tleaf(std),Tleaf(therm),Tleaf(pmax),Pleaf(std),Pleaf(therm),Pleaf(pmax),k(std),k(therm),k(pmax),Rublim(std),Rublim(therm),Rublim(pmax),Ps(std),Ps(therm),Ps(pmax)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[degC],[degC],[degC],[MPa],[MPa],[MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[-],[-],[MPa],[MPa],[MPa]
306,11.85548611,11.448624829127006,11.648466075419542,11.648466075419542,1.8097743922167384,1.9358940454366484,1.9358940454366484,0.07264582558071794,0.07303773493603238,0.07303773493603238,0.3665668992638461,0.6510800566056503,0.6510800566056503,,,,17.455855697942763,17.818325899411313,17.818325899411313,24.677732062383274,24.499450976429554,24.499450976429554,-2.6981468597135523,-2.846421611796201,-2.846421611796201,,0.8599792787894964,0.8599792787894964,False,False,False,-0.82,-0.82,-0.82
311,11.91048611,4.844106246087259,8.423652243387814,8.423652243387814,0.9111029900517782,2.6003260625131683,2.6003260625131683,0.026420327480561542,0.11234183154143511,0.11234183154143511,0.717238023539893,0.6081819893303565,0.6081819893303565,,,,22.381690394031367,38.72644442961398,38.72644442961398,42.408726099791224,40.47689098727833,40.47689098727833,-1.3521230247999818,-2.5871641534079464,-2.5871641534079464,,1.3005495200829578,1.3005495200829578,False,False,False,-0.722,-0.722,-0.722
312,11.84361111,1.6249837939880662,5.599574057254824,5.599574057254824,0.5188702973441874,2.8529480684842303,2.8529480684842303,0.007222136049469313,0.04868610258759848,0.04868610258759848,1.0405705356062371,0.620566079285716,0.620566079285716,,,,16.314422724479986,30.37475258757582,30.37475258757582,44.49047052759844,43.00962057140213,43.00962057140213,-1.2098817509473654,-3.11506267738156,-3.11506267738156,,1.0584215535502084,1.0584215535502084,True,False,False,-0.8140000000000001,-0.8140000000000001,-0.8140000000000001
306,12.17208333,7.1961510716382096,8.024760320124646,8.024760320124646,0.9804275828017978,1.5769363080670458,1.5769363080670458,0.06381718106259593,0.11806800853760549,0.11806800853760549,0.5509069644836123,0.6464872479209619,0.6464872479209619,,,,26.234568206607385,33.195065168455244,33.195065168455244,25.249529567676152,24.662962760072542,24.662962760072542,-1.5243308204225658,-2.122536465550107,-2.122536465550107,,0.9811696836803739,0.9811696836803739,False,False,False,-0.562,-0.562,-0.562
311,12.21118056,2.168222846774434,2.6359773874441363,2.6359773874441363,0.5240780680916288,1.8322796822849317,1.8322796822849317,0.022081021976938855,0.10449647712675827,0.10449647712675827,0.2636594110278024,0.609891819146502,0.609891819146502,,,,28.97684279041461,40.86505042984186,40.86505042984186,39.90794447199939,38.65373197331607,38.65373197331607,-0.7057985421291959,-1.6305950015858142,-1.6305950015858142,,1.390011620944914,1.390011620944914,False,False,False,-0.325,-0.325,-0.325
312,12.16805556,8.27607339528051,11.151892737595233,11.151892737595233,1.8399705732655562,2.7246678206997434,2.7246678206997434,0.045117632084401234,0.0766552146591765,0.0766552146591765,0.6839956333463042,0.620390374304613,0.620390374304613,,,,18.346575321470183,23.470558047717013,23.470558047717013,38.04723520982185,37.00452017079979,37.00452017079979,-2.1900774814685815,-2.9395919453994135,-2.9395919453994135,,1.1088260863567962,1.1088260863567962,False,False,False,-0.7659999999999999,-0.7659999999999999,-0.7659999999999999
306,11.75805556,17.15370966479683,12.559489225598673,12.559489225598673,3.334047815099482,2.3849466942029296,2.3849466942029296,0.11353675552845366,0.07038114638167985,0.07038114638167985,0.886743174004331,0.6497223512269354,0.6497223512269354,,,,23.061735104346095,17.845308488741672,17.845308488741672,28.476128223011465,30.656414696922084,30.656414696922084,-4.912407735312119,-3.106907486977698,-3.106907486977698,,0.811777027553251,0.811777027553251,False,False,False,-0.605,-0.605,-0.605
311,11.775,2.656738458648835,8.948323636396184,8.948323636396184,0.5786402005621147,2.7433136238488016,2.7433136238488016,0.011116108410975982,0.07400179455757465,0.07400179455757465,0.8900324277118923,0.6120725690702423,0.6120725690702423,,,,17.061393510761892,33.96477463765581,33.96477463765581,43.85162235920796,41.40105619600715,41.40105619600715,-1.3215087824921283,-2.9715439124606418,-2.9715439124606418,,1.1727536077872867,1.1727536077872867,True,False,False,-0.909,-0.909,-0.909
312,11.71127778,3.3563701342049552,6.632151768824003,6.632151768824003,1.2747575557640962,3.179499037459344,3.179499037459344,0.02127604054592362,0.06578692297997715,0.06578692297997715,0.9780970107763054,0.6205211929322842,0.6205211929322842,,,,19.759457182971804,26.40024484764346,26.40024484764346,42.78179133310352,41.30565548448255,41.30565548448255,-1.5495307162889371,-3.1103686893767324,-3.1103686893767324,,1.0603532556535498,1.0603532556535498,True,False,False,-0.561,-0.561,-0.561
306,11.41574074,9.904947369577057,10.586429789546742,10.586429789546742,1.420283501152661,1.8162508843569438,1.8162508843569438,0.08999083004909801,0.11412399514953463,0.11412399514953463,0.35645139571330486,0.6487368161196073,0.6487368161196073,,,,26.010325709308752,29.269303034051482,29.269303034051482,25.18104712227616,24.716150178484412,24.716150178484412,-1.9358798039197194,-2.3553997458218587,-2.3553997458218587,,0.9438532600983629,0.9438532600983629,False,False,False,-0.52,-0.52,-0.52
311,11.24208333,5.296534515403515,7.179215804042458,7.179215804042458,0.6998010537219106,1.8362141934727034,1.8362141934727034,0.027438440919708085,0.0881903924988631,0.0881903924988631,0.4825254143370853,0.6299067833705916,0.6299067833705916,,,,24.428502021207535,41.90077862580061,41.90077862580061,33.90699067998401,32.733087207012815,32.733087207012815,-1.3194016250270386,-2.248265108766187,-2.248265108766187,,1.1751781461985094,1.1751781461985094,False,False,False,-0.742,-0.742,-0.742
312,11.23,11.47471204730403,12.173384951395503,12.173384951395503,2.320268756682295,2.578587598912219,2.578587598912219,0.065720373754037,0.07618645587945427,0.07618645587945427,0.7087163789958725,0.6329688815694633,0.6329688815694633,,,,24.241573832351005,25.919813630343914,25.919813630343914,34.62130091284131,34.37297290149568,34.37297290149568,-2.5984070570874613,-2.830000089734048,-2.830000089734048,,1.0483221366537063,1.0483221366537063,False,False,False,-0.617,-0.617,-0.617
