doy,hod,A(Treg),A(TpDep),A(std),A(std2),E(Treg),E(TpDep),E(std),E(std2),gs(Treg),gs(TpDep),gs(std),gs(std2),gb(Treg),gb(TpDep),gb(std),gb(std2),gmin(Treg),gmin(TpDep),gmin(std),gmin(std2),Ci(Treg),Ci(TpDep),Ci(std),Ci(std2),Tleaf(Treg),Tleaf(TpDep),Tleaf(std),Tleaf(std2),Pleaf(Treg),Pleaf(TpDep),Pleaf(std),Pleaf(std2),Rublim(Treg),Rublim(TpDep),Rublim(std),Rublim(std2),Ps(Treg),Ps(TpDep),Ps(std),Ps(std2)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa]
20,8.2,18.61732758368477,12.895943587695918,16.32186665505725,17.257093811873748,6.5491499295267,1.6185054377324206,2.6300721011088704,3.2783355348920966,0.4639925,0.1,0.1667226214444609,0.21143388754126444,4.64,4.64,4.64,4.64,,,,0.0013258375237889825,32.28354158939965,18.426941906744446,23.238675294842444,25.78075037410013,16.38438207164345,17.24493138503539,17.060837199724837,16.944901489269345,-3.7256263947987986,-1.7863097894854856,-2.105726642125325,-2.3110660473937936,False,True,True,False,-1.33,-1.33,-1.33,-1.33
20,8.283333333,13.99414204351603,11.453820047850256,13.117968767959836,13.371465181262653,4.64503092889816,1.1462631936805079,1.8740129128372058,2.1886874994104932,0.46267499999999995,0.1,0.16781337283953873,0.19827620564359974,4.64,4.64,4.64,4.64,,,,0.0012969383580373236,33.7662951645079,20.540861010039173,26.231476007068103,27.91723529117939,15.415037014171608,15.974850923836073,15.852933282676975,15.80110738348466,-2.4520909402346387,-1.392933021457023,-1.609578959388808,-1.6817942720327363,False,False,False,False,-1.08,-1.08,-1.08,-1.08
20,8.383333333,15.121008502609218,12.016968459076137,14.007887510023927,14.376162036568925,6.2493884287309385,1.5399813450187918,2.423948094111987,2.8906289353805716,0.46326999999999996,0.1,0.16114888812837258,0.19464342307064914,4.64,4.64,4.64,4.64,,,,0.0012956697195523868,33.643932516673694,19.92588424410671,25.11417503546828,27.164772076533584,15.221341104736085,15.971801938288912,15.824118892450755,15.747422627591062,-3.0779569831486846,-1.5132918758635703,-1.7540095846766646,-1.8984402099645212,False,False,False,False,-1.08,-1.08,-1.08,-1.08
20,8.5,15.188744144782305,11.997388026052677,13.990131675660509,14.386059464745516,5.294486067944619,1.3187780445214545,2.0479922703265805,2.453205393376734,0.45812749999999997,0.1,0.1588866155664399,0.1928252793883969,4.64,4.64,4.64,4.64,,,,0.0013052760285257045,33.44548115972179,19.840864381311675,24.82078989226677,26.930368880361236,15.699956469818543,16.3392503211157,16.21632607266014,16.149118692707255,-2.866281662221212,-1.575500092894921,-1.7867188951483142,-1.904062674177977,False,False,False,False,-1.2,-1.2,-1.2,-1.2
20,8.583333332999999,15.226519418385466,12.057176472328983,14.022582157234577,14.422721314241706,5.315857078703262,1.3278892669434632,2.048933358058095,2.458700383091651,0.45670799999999995,0.1,0.15781063690177624,0.19187555492249597,4.64,4.64,4.64,4.64,,,,0.001307211179795542,33.680234131844465,20.009942319432984,24.957826455112418,27.106040487433933,15.77901688671128,16.419919586103518,16.298417185717202,16.230473509357566,-2.8897504180271447,-1.575500092894921,-1.7867188951483142,-1.904062674177977,False,False,False,False,-1.2,-1.2,-1.2,-1.2
20,9.916666667000001,18.8370593756554,12.07020385802526,15.102631428333927,17.40909540895416,7.542934597203017,2.7545948594179395,3.815798329955222,5.360987374543284,0.302926,0.1,0.14186569831162266,0.2058057009186428,4.64,4.64,4.64,4.64,,,,0.0015734355941548982,28.712074266096455,19.67489069152671,21.82253192608492,25.210701662379478,25.98735551851321,26.80924102673994,26.61981834032587,26.35145069928271,-4.0866569641297055,-1.9979376974017071,-2.326500278684763,-2.8897504180271447,False,True,True,True,-1.2,-1.2,-1.2,-1.2
20,10.0,18.81514976221934,12.051582394285333,15.059440720298724,17.374937630621353,7.578924054184299,2.7684498504922592,3.823610185739355,5.377290169297721,0.30283249999999995,0.1,0.14141144206693268,0.205351520691452,4.64,4.64,4.64,4.64,,,,0.0015733884166847204,28.665274753724916,19.648980449878508,21.76217740998743,25.15256900531061,25.98343079469611,26.808329528217964,26.620137865365084,26.350492509583272,-4.13359447574157,-1.9979376974017071,-2.326500278684763,-2.9132191738330775,False,True,True,True,-1.2,-1.2,-1.2,-1.2
20,10.18333333,18.695900363010264,11.98914046818482,15.620988706155737,17.64071884364308,7.591035969137432,2.799579148957694,4.226714216325355,5.754820816328632,0.29966199999999993,0.1,0.15575353587343715,0.2188573317679611,4.64,4.64,4.64,4.64,,,,0.0015769838290567138,28.566827489046727,19.69739186679959,22.670059886705545,25.719778032654954,26.169800511061954,26.990933594745503,26.737596677398997,26.47458498671969,-3.8001101095879677,-1.8743684390832118,-2.307660314946782,-2.8853828160982085,False,True,True,True,-1.08,-1.08,-1.08,-1.08
20,10.35,18.665752517113212,11.971640856755936,13.946620317817532,16.747331428219788,7.6996572568418244,2.847197093248527,3.4243416297197253,5.087191113541442,0.29876666660999995,0.1,0.12194518259528761,0.18731882843462025,4.64,4.64,4.64,4.64,,,,0.001581383194770838,28.531344610877532,19.70262982175679,20.47427485209023,24.332809798131635,26.199704285872695,27.0291802703551,26.926025486270323,26.63575930643662,-4.75232342114114,-2.174173110548148,-2.356697026342342,-2.9727152421477476,False,True,True,True,-1.33,-1.33,-1.33,-1.33
