Richmond_Eucalyptus_cladocalyx,Richmond_Eucalyptus_dunnii,Richmond_Eucalyptus_saligna,mean,model,variable
0.25,0.25,0.25,0.25,Treg,gs
0.75,0.75,0.75,0.75,TpDep,gs
0.0,0.0,0.0,0.0,std,gs
0.5,0.5,0.5,0.5,std2,gs
0.0,0.25,0.5,0.25,Treg,Ci
0.75,0.75,0.75,0.75,TpDep,Ci
0.25,0.0,0.0,0.08333333333333333,std,Ci
0.5,0.5,0.25,0.4166666666666667,std2,Ci
0.0,0.0,0.25,0.08333333333333333,Treg,Pleaf
0.25,0.25,0.0,0.16666666666666666,TpDep,Pleaf
,,,,std,Pleaf
,,,,std2,Pleaf
0.0,0.25,0.5,0.25,Treg,E
0.5,0.5,0.25,0.4166666666666667,TpDep,E
0.25,0.0,0.0,0.08333333333333333,std,E
0.75,0.75,0.75,0.75,std2,E
0.0,0.25,0.25,0.16666666666666666,Treg,A
0.75,0.75,0.75,0.75,TpDep,A
0.25,0.0,0.0,0.08333333333333333,std,A
0.5,0.5,0.5,0.5,std2,A
