site_spp,A(std),A(pmax),E(std),E(pmax),gs(std),gs(pmax),gb(std),gb(pmax),Ci(std),Ci(pmax),Tleaf(std),Tleaf(pmax),Pleaf(std),Pleaf(pmax),Rublim(std),Rublim(pmax),Ps,PPFD,Tair,VPD,Patm,CO2,doy,hod,A,E,Ci,gs,gb,Tleaf,Pleaf
Corrigin_Eucalyptus_capillosa,12.511408111310748,12.085402286520733,2.6538139672637877,2.390491822523765,0.1604807846513948,0.1437017844548002,2.84,2.84,22.143951543933767,21.2186279871082,21.044069582133123,21.04866576157829,-3.936132998690408,-3.86411794223489,True,True,-3.3,1700.0,20.87,1.7,98.83,34.83654825,89,9.0,10.9,3.0,23.811375,0.183,2.84,20.32,
Corrigin_Eucalyptus_capillosa,10.00029603015518,9.747821478395018,3.110162621463441,2.945775633594357,0.1102169870388979,0.1041530733968022,2.84,2.84,19.924796496249144,19.507137220520004,27.369529205336733,27.372946535886825,-4.068160602192191,-4.020150564555179,True,True,-3.3,2092.0,27.11,2.84,98.76,34.4768445,89,9.0,14.9,4.64,18.137175,0.168,2.84,26.76,
Corrigin_Eucalyptus_capillosa,5.725820452342447,6.097320204738551,1.6729456745956193,2.050112986517597,0.0626879078970464,0.077252788236309,2.84,2.84,20.57125619014683,22.48079191935933,26.769870173163177,26.762082097888342,-3.6780790463914688,-3.774099121665493,False,False,-3.3,268.0,26.8,2.7,98.76,35.0037345,89,9.0,9.72,4.45,23.9127,0.1689999999999999,2.84,26.07,
Corrigin_Eucalyptus_capillosa,12.502475028094644,12.151289654938925,2.654970036596326,2.4347536309238373,0.1605402599485314,0.1464968272216957,2.84,2.84,22.119943062967803,21.35636551220249,21.09455461145991,21.0984052124451,-3.936132998690408,-3.876120451644143,True,True,-3.3,1701.0,20.92,1.7,98.83,34.799058,89,9.0,14.8,3.94,23.406075,0.245,2.84,20.34,
Corrigin_Eucalyptus_capillosa,11.46173656476858,10.8450150365276,2.268417213221335,1.987731680411441,0.1284070235846135,0.1118468776919283,2.84,2.84,20.085994844438797,18.92476092153138,21.9149738330092,21.92002495592564,-4.507814632430323,-4.404484029155824,True,True,-3.8,1495.0,21.76,1.8,98.83,34.482924,89,9.0,13.3,3.21,21.27825,0.184,2.84,21.04,
Corrigin_Eucalyptus_capillosa,3.909525334990928,4.212776971312542,0.7645244929987209,1.045752258958914,0.0431751401938208,0.0594168166551796,2.84,2.84,20.488223038497285,23.52139291063421,21.817809543249812,21.81273531375487,-4.011827736712724,-4.0944922193323245,False,False,-3.8,147.0,21.84,1.78,98.82,34.72103775,89,9.0,10.6,2.98,23.406075,0.173,2.84,20.86,
Corrigin_Eucalyptus_capillosa,11.496771745375456,11.060404399438466,3.194768566774421,2.9113354020081013,0.1339227425173228,0.1214834112803161,2.84,2.84,21.23229018925241,20.456344232198937,25.463289522018624,25.46893534312787,-3.952520352762429,-3.872333757795941,True,True,-3.2,1758.0,25.27,2.43,98.77,35.09594025,89,9.0,12.4,3.18,18.2385,0.132,2.84,24.71,
Corrigin_Eucalyptus_capillosa,11.475105461982888,11.05121042002757,3.2346259758369613,2.956640887881672,0.1331445813931549,0.1211669327329794,2.84,2.84,21.1428299334425,20.396813967599662,25.448103553378857,25.453635295403124,-3.964856751988042,-3.884670157021554,True,True,-3.2,1915.0,25.23,2.47,98.77,35.05845,89,9.0,15.3,3.79,17.326575,0.156,2.84,24.92,
Corrigin_Eucalyptus_capillosa,7.995255394776377,7.971391749668877,2.2535406644598037,2.2409306330233902,0.0750198130810296,0.0745863615561216,2.84,2.84,18.5212147848579,18.48126060866176,29.262208758223224,29.26248139719952,-4.502648102266599,-4.497481572102873,True,True,-3.8,1286.0,29.12,3.01,98.7,35.4211935,89,11.5,12.2,2.61,10.74045,0.086,2.84,29.04,
Corrigin_Eucalyptus_capillosa,8.026850763198173,7.957171559308481,2.3317780978042064,2.2954462676356595,0.0745730647845503,0.0733756256012278,2.84,2.84,18.371230712853517,18.256866934858834,29.13251996309731,29.133302800759147,-4.533647283248948,-4.518147692757774,True,True,-3.8,1639.0,28.93,3.12,98.69,35.4374055,89,11.5,9.72,2.28,11.855025,0.072,2.84,29.36,
Corrigin_Eucalyptus_capillosa,9.631489180878884,9.653062573724505,3.0119512941806508,3.024083245528133,0.1064482178002856,0.1068959983217066,2.84,2.84,20.64501089032346,20.68256102453434,28.71610566209098,28.715846281194956,-3.897006556247168,-3.9031747558599754,True,True,-3.2,1730.0,28.51,2.85,98.68,35.12836425,89,11.5,10.8,2.47,13.17225,0.0858,2.84,28.23,
Corrigin_Eucalyptus_capillosa,9.56777186528804,9.677232676516091,2.9731474116734176,3.0464269488484645,0.1061713456408819,0.1089025695973052,2.84,2.84,20.59390899765865,20.79146153431981,28.61524712958772,28.61368075408148,-3.8908383566343607,-3.909342955472781,True,True,-3.2,1224.0,28.5,2.84,98.66,35.011840500000005,89,11.5,9.24,1.8,9.48402,0.0624,2.84,28.14,
