doy,hod,A(const),E(const),gs(const),gb(const),Ci(const),Tleaf(const),Pleaf(const),Rublim(const),Ps(const)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[degC],[MPa],[-],[MPa]
20,8.8,1.8774902670018685,0.07116060596213503,0.01,4.64,9.553694113145376,18.97892204329622,-1.3401810690398177,True,-1.3
20,8.9,1.8811822892238563,0.0713819847599876,0.01,4.64,9.560316592691109,18.9739456959616,-1.3401810690398177,True,-1.3
20,9.083333332999999,1.8681052036635373,0.09879015551866113,0.01,4.64,9.99972921380272,20.196839353594385,-1.4396785564770034,True,-1.4
20,9.15,1.8620646783165369,0.0877279017299268,0.01,4.64,9.747612322640588,19.595455540591104,-1.4396785564770034,True,-1.4
20,9.316666667,1.8124886905234292,0.11658531707711907,0.01,4.64,10.673160459291857,22.09973405097267,-1.2406835816026316,True,-1.2
20,9.4,1.800125634013473,0.11726846255920605,0.01,4.64,10.827430130600646,22.503635731071526,-1.2406835816026316,True,-1.2
20,10.86666667,1.6483268749310551,0.25897427559253533,0.01,4.64,13.2012620853411,28.929072721367206,-1.3803621380796351,True,-1.3
20,10.98333333,1.6519022984495026,0.21632991795044174,0.01,4.64,12.984570480815403,28.50329902155674,-1.3803621380796351,True,-1.3
20,11.15,1.6206996353114747,0.2419110055125396,0.01,4.64,13.534004390429992,29.675680508088274,-1.4793571129540068,True,-1.4
20,11.23333333,1.6127046398604081,0.2653171483610435,0.01,4.64,13.610882429086718,29.854775713988687,-1.4793571129540068,True,-1.4
20,11.38333333,1.585269317399223,0.2928927636902188,0.01,4.64,14.1670848331765,30.99981562674838,-1.2813671632052632,True,-1.2
20,11.46666667,1.5912697613707156,0.2793018911956025,0.01,4.64,13.933072850666477,30.54586680615109,-1.2813671632052632,True,-1.2
20,13.45,1.5454994819778152,0.3836176300274236,0.01,4.64,15.19837012524762,33.039703873769945,-1.4205432071194528,True,-1.3
20,13.55,1.5317955430107335,0.3453584462145889,0.01,4.64,15.225254058225172,33.147908117857874,-1.4205432071194528,True,-1.3
20,13.68333333,1.5322290999562733,0.3700913349759584,0.01,4.64,15.436759128901723,33.49623380568628,-1.5190356694310105,True,-1.4
20,13.75,1.4997907835496214,0.3383207819644386,0.01,4.64,15.602420886127526,33.912627388347794,-1.5190356694310105,True,-1.4
20,13.93333333,1.522032409748958,0.3529566914586865,0.01,4.64,15.583295563952792,33.780471879500865,-1.3220507448078949,True,-1.2
20,14.0,1.5086951482350073,0.33385993497537925,0.01,4.64,15.647467356676763,33.943593771147704,-1.2813671632052632,True,-1.2
20,15.85,1.4422241553884196,0.4461206606392776,0.01,4.64,16.89555816421674,36.03287412267699,-1.4205432071194528,True,-1.3
20,15.93333333,1.4272337838301605,0.4464257324817304,0.01,4.64,16.944084957654333,36.156813806187564,-1.4205432071194528,True,-1.3
20,16.11666667,1.4244629159302267,0.5132278731618471,0.01,4.64,17.03897768760765,36.285773581133775,-1.558714225908014,True,-1.4
20,16.21666667,1.426892908483442,0.5698299773392406,0.01,4.64,17.21929551136973,36.492570148623095,-1.558714225908014,True,-1.4
20,16.85,1.4080040715233866,0.5534743148313922,0.01,4.64,17.35377740520876,36.7257578241216,-1.3627343264105267,True,-1.2
20,18.66666667,1.4053053687219819,0.5217936607050622,0.01,4.64,17.3856304185273,36.72924190571288,-1.4607242761592705,True,-1.3
20,18.73333333,1.4273241140662303,0.5467112582667015,0.01,4.64,17.337570887280613,36.583414609713586,-1.4607242761592705,True,-1.3
20,18.85,1.4214257149114053,0.5596725111743328,0.01,4.64,17.291211999091555,36.550886265274066,-1.558714225908014,True,-1.4
20,18.93333333,1.4192539462129161,0.5444071452669854,0.01,4.64,17.343131559475697,36.61816410684786,-1.558714225908014,True,-1.4
20,19.11666667,1.4215754707232784,0.491726921247482,0.01,4.64,17.23730950616816,36.48381310053106,-1.3627343264105267,True,-1.2
20,19.2,1.4273006583647228,0.47923239095504255,0.01,4.64,17.17510938654979,36.38541544107485,-1.3627343264105267,True,-1.2
41,8.833333332999999,1.7982638047433372,0.09815615311037873,0.01,4.64,10.554056461501805,21.799489940283866,-0.743196144416702,True,-0.7
41,8.916666667000001,1.798371418382429,0.11235936036195178,0.01,4.64,10.557415621378219,21.803568540608502,-0.743196144416702,True,-0.7
41,9.033333333,1.8119668289973097,0.10377734147336323,0.01,4.64,10.582722469144649,21.783999533685577,-0.792944888135295,True,-0.75
41,9.116666667,1.8172445754615936,0.09874639701911096,0.01,4.64,10.538994260420015,21.659209033905434,-0.792944888135295,True,-0.75
41,9.266666667,1.8188794484210997,0.0989137606838463,0.01,4.64,10.518393564093412,21.594204457187303,-0.792944888135295,True,-0.75
41,9.333333332999999,1.8248783599806744,0.10448909177779493,0.01,4.64,10.496565152621653,21.510877825312928,-0.792944888135295,True,-0.75
41,10.7,1.7163643640404962,0.17717123347869726,0.01,4.64,11.912921622875206,25.999889138438167,-0.743196144416702,True,-0.7
41,10.78333333,1.7154737524443602,0.17708272460859556,0.01,4.64,12.002265372260315,26.194893851678724,-0.743196144416702,True,-0.7
41,10.9,1.6974687842505907,0.18877454857953524,0.01,4.64,12.250603933878015,26.7637670903799,-0.792944888135295,True,-0.75
41,10.98333333,1.6992695498382084,0.18249465047797184,0.01,4.64,12.292334769784247,26.84824403932317,-0.792944888135295,True,-0.75
41,11.15,1.7119359787488617,0.1803831726492199,0.01,4.64,12.085895855055252,26.37924361139966,-0.792944888135295,True,-0.75
41,11.23333333,1.7218898525531852,0.17813067878164887,0.01,4.64,11.937235167807557,26.033436560813477,-0.792944888135295,True,-0.75
41,13.73333333,1.5812692915529984,0.22328031185623703,0.01,4.64,14.195469175472173,30.992584536851155,-0.786392288833404,True,-0.7
41,13.85,1.5835640892077474,0.22397310634622936,0.01,4.64,14.236378499187609,31.056257893327228,-0.786392288833404,True,-0.7
41,13.96666667,1.5766942601486553,0.23140813938080027,0.01,4.64,14.396604095558388,31.377202326888955,-0.8358897762705899,True,-0.75
41,14.06666667,1.575592645100257,0.23398481178886216,0.01,4.64,14.344774922433277,31.288968390764786,-0.8358897762705899,True,-0.75
41,14.2,1.5671129051923043,0.23308798826341054,0.01,4.64,14.519017150626997,31.64053880698703,-0.8358897762705899,True,-0.75
41,14.28333333,1.554251626020459,0.23258843773647678,0.01,4.64,14.685877490075342,31.997129921656562,-0.8358897762705899,True,-0.75
41,16.38333333,1.5548339202606352,0.2660363896892399,0.01,4.64,14.68146463725606,32.00535571569559,-0.786392288833404,True,-0.7
41,16.45,1.564540064969098,0.25504879872134545,0.01,4.64,14.624481920983552,31.85919479877262,-0.786392288833404,True,-0.7
41,16.61666667,1.5419291577551142,0.27381478617297145,0.01,4.64,14.755666657322504,32.19638478708682,-0.8358897762705899,True,-0.75
41,16.76666667,1.5444181520711942,0.2951874950574661,0.01,4.64,14.951099411532219,32.534849424638914,-0.8358897762705899,True,-0.75
41,16.91666667,1.5389571758407241,0.2949668469452448,0.01,4.64,15.171520886914713,32.9293920221191,-0.8358897762705899,True,-0.75
