doy,hod,A(const),E(const),gs(const),gb(const),Ci(const),Tleaf(const),Pleaf(const),Rublim(const),Ps(const)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[degC],[MPa],[-],[MPa]
20,8.016666667,1.959688507982142,0.0885251434453514,0.01,4.64,8.773068096391558,15.937865636351471,-0.95,True,-0.95
20,8.1,1.9595894360705914,0.08578752291621239,0.01,4.64,8.72072307895533,15.76836498257373,-0.95,True,-0.95
20,8.266666667,1.934560588135228,0.0804292750682017,0.01,4.64,8.84917263668915,16.35215195970062,-0.85,True,-0.85
20,8.366666667,1.9470589071158433,0.07739347770579105,0.01,4.64,8.767428208114499,16.012004367556266,-0.85,True,-0.85
20,8.533333333,1.9067822388101077,0.08775711446621355,0.01,4.64,9.213469733805038,17.585814752346806,-1.254000824578851,True,-1.21
20,8.616666667,1.912313897523998,0.0817921390999065,0.01,4.64,9.173054263152245,17.437855625949318,-1.21,True,-1.21
20,10.0,1.6880723087630638,0.2612016842372157,0.01,4.64,12.701822036102303,27.25167358822789,-0.8958098698049817,True,-0.85
20,10.16666667,1.6796325069669296,0.2639934643806592,0.01,4.64,12.717580266480716,27.317267468840143,-0.8958098698049817,True,-0.85
20,10.31666667,1.6886874228750015,0.2910380576885728,0.01,4.64,12.878286783811479,27.584161080219236,-1.0406147144843352,True,-0.95
20,10.4,1.6897423208830953,0.2704248946126995,0.01,4.64,12.870946162359793,27.565556352677646,-0.9953073572421676,True,-0.95
20,10.56666667,1.6714715955910264,0.2545691429318386,0.01,4.64,12.901904647931769,27.701368434844504,-1.254000824578851,True,-1.21
20,10.65,1.6666501665099878,0.2588485658944956,0.01,4.64,12.881945218394371,27.683900702468424,-1.254000824578851,True,-1.21
20,12.76666667,1.5347493787854942,0.36880227110067393,0.01,4.64,15.261506450374139,32.76303021211928,-0.9416197396099633,True,-0.85
20,12.93333333,1.5502926366712493,0.41992752992742743,0.01,4.64,15.373276761322781,32.89620308711167,-1.0406147144843352,True,-0.95
20,13.01666667,1.5494288003613583,0.42719372501738295,0.01,4.64,15.40998770911158,32.96769309843453,-1.0406147144843352,True,-0.95
20,13.18333333,1.536132749718365,0.3550880581935832,0.01,4.64,15.337996781083358,32.90797663687165,-1.298001649157702,True,-1.21
