doy,hod,A(obs),A(std),A(pmax),E(obs),E(std),E(pmax),gs(obs),gs(std),gs(pmax),gb(obs),gb(std),gb(pmax),Ci(obs),Ci(std),Ci(pmax),Tleaf(obs),Tleaf(std),Tleaf(pmax),Pleaf(obs),Pleaf(std),Pleaf(pmax),Rublim(obs),Rublim(std),Rublim(pmax),Ps(obs),Ps(std),Ps(pmax)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[degC],[degC],[degC],[MPa],[MPa],[MPa],[-],[-],[-],[MPa],[MPa],[MPa]
20,8.8,14.920828231405451,14.403978035048564,14.270809407366531,15.204142931801412,2.415961818139369,2.0786521707445216,10,0.3970350565854735,0.33455669260987747,4.64,4.64,4.64,38.61816885636466,33.13285424005813,32.09428585164396,17.27621361821701,18.57710168395988,18.63133179763545,-9.296032738923701,-2.0634403117565343,-1.9428971046370815,False,False,False,-1.3,-1.3,-1.3
20,8.9,14.929633635937385,14.413779538184485,14.382022662714984,15.255226434866238,2.4184508150342254,2.3328927208026773,10,0.39605851543112913,0.38079858106759307,4.64,4.64,4.64,38.68286461669956,33.1796183833983,32.92568803436311,17.266078136937434,18.571790544399843,18.585417489233663,-9.296032738923701,-2.0634403117565343,-2.023259242716717,False,False,False,-1.3,-1.3,-1.3
20,9.083333332999999,15.005210855212422,14.29333807988526,14.202018689706744,21.747494878242758,2.890546092034136,2.662165438008329,10,0.33568850309785997,0.3058452236427175,4.64,4.64,4.64,38.91257402642389,32.43728688411819,31.790882616803305,17.91935863867244,19.72873792439734,19.76467602726413,-9.296032738923701,-2.312606798971081,-2.233249686017074,False,False,False,-1.4,-1.4,-1.4
20,9.15,14.976791855327962,14.348363058279709,14.277844372033213,19.313525526782083,2.7235652617691732,2.5389050530908017,10,0.3586118345071944,0.3312603836764442,4.64,4.64,4.64,38.566070704093626,32.49393955686723,31.974073171677276,17.520404817398404,19.150261091902976,19.179458009150192,-9.296032738923701,-2.233249686017074,-2.1935711295400706,False,False,False,-1.4,-1.4,-1.4
20,9.316666667,15.031807175329456,14.057425288441344,14.089883257718476,25.36893919045754,3.1677112023442837,3.2685497730274777,10,0.3106498881786957,0.3220591218715617,4.64,4.64,4.64,38.70364883106001,31.81421811426172,32.0137367065596,19.580979042160514,21.59325823253635,21.577711532174277,-9.296032738923701,-2.1764059584631603,-2.2170895400657917,False,False,False,-1.2,-1.2,-1.2
20,9.4,15.00900385271467,13.986351149408131,14.021667064297882,25.41870871773502,3.165332478544013,3.2685497730274777,10,0.3088205433698926,0.32045058724634873,4.64,4.64,4.64,38.663038519042814,31.768749509738182,31.980836606220937,20.000503854073383,21.997860206306807,21.981970766684743,-9.296032738923701,-2.1764059584631603,-2.2170895400657917,False,False,False,-1.2,-1.2,-1.2
20,10.86666667,23.114198435417673,19.219695615152833,18.098507064874997,49.36372838901167,7.163567643175048,5.692865523130069,10,0.32855476619606777,0.2534408476134928,4.64,4.64,4.64,38.24309348801653,29.461102854456474,27.430205497985735,23.870540552076157,27.689615316439525,27.935457641210135,-9.296032738923701,-3.710864142389056,-3.148329175831609,False,False,True,-1.3,-1.3,-1.3
20,10.98333333,23.09282286842725,19.56901338207176,18.590921976850666,40.2911415481244,6.176867611385903,5.125289073518523,10,0.3476641484188234,0.2771145514517128,4.64,4.64,4.64,38.08414886632572,29.658151940203016,27.928729211749292,24.109745385552923,27.39695381222791,27.57944114850061,-9.296032738923701,-3.30905345199088,-2.9474238306325216,False,False,False,-1.3,-1.3,-1.3
20,11.15,23.10025912510644,18.767024926905556,17.998755469190684,44.90786876428602,6.735778635416844,5.686842747196927,10,0.3331310582435215,0.27571008800667973,4.64,4.64,4.64,38.140080893217664,29.705728815722242,28.29031132294435,25.00416538700255,28.491316596209234,28.667804613270626,-9.296032738923701,-3.6616777191892007,-3.2648921544191656,False,False,False,-1.4,-1.4,-1.4
