doy,hod,A(obs),E(obs),gs(obs),gb(obs),Ci(obs),Tleaf(obs),Pleaf(obs),Rublim(obs),Ps(obs)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[degC],[MPa],[-],[MPa]
20,8.016666667,11.117690636313599,0.6383499809920283,0.077725,4.64,16.866867554267206,15.479752156429424,-1.1155722954976708,False,-0.95
20,8.1,14.070293283520284,1.2635542201279468,0.162,4.64,25.613530673277335,15.301847402995037,-1.266092564131917,False,-0.95
20,8.266666667,14.194421823996997,1.2534919301396048,0.17325,4.64,26.103130569916445,15.875452543609997,-1.1695984072037033,False,-0.85
20,8.366666667,13.782594709888723,1.0295229383992364,0.14725,4.64,24.387988948190618,15.537064786634454,-1.1087225201172837,False,-0.85
20,8.533333333,14.007371780210736,1.2940244190848678,0.16325,4.64,25.42152875050888,17.11346940404561,-1.5462133123495843,False,-1.21
20,8.616666667,14.339723002035203,1.3702589329518602,0.1875,4.64,26.93178974250968,16.957969742199726,-1.56083128245174,False,-1.21
20,10.0,14.370467131075669,2.424998590836524,0.1125,4.64,18.813240683310077,25.209274025471927,-1.4587588708641968,True,-0.85
20,10.16666667,13.763895549632572,2.3060414066134127,0.1055,4.64,18.283012079100594,25.28072471883565,-1.428320927320987,True,-0.85
20,10.31666667,10.561873823911887,1.7538150830536752,0.071,4.64,15.793075177576508,25.58430231531986,-1.386508779039314,True,-0.95
20,10.4,12.2373366706564,1.9683354622092,0.087325,4.64,17.114365436193527,25.538176285482226,-1.4467168864930124,True,-0.95
20,10.56666667,15.292842798755373,2.6367062838816717,0.12725,4.64,19.916671118357833,25.644260104046367,-1.8970445948013244,True,-1.21
20,10.65,16.17307253466696,2.9935356486639706,0.142,4.64,20.78670719792438,25.629216772354003,-1.9847524154142595,True,-1.21
20,12.76666667,13.52703324534355,3.8505831182929873,0.1275,4.64,22.38158333137202,30.51687917833848,-1.8392331651543197,True,-0.85
20,12.93333333,6.238090482579107,1.4845945183071263,0.0412,4.64,15.807349980972266,30.74543192927857,-1.3263006715856154,True,-0.95
20,13.01666667,6.204543363751609,1.506791934400827,0.041,4.64,15.843958654128848,30.822457330595768,-1.3263006715856154,True,-0.95
20,13.18333333,10.901731156666754,2.5630000805950717,0.08825,4.64,19.802855675203723,30.657014677720664,-1.8678086545970127,True,-1.21
20,13.26666667,12.32094298027539,2.946729344552912,0.10725,4.64,21.03993089450362,30.484708536619607,-1.9701344453121037,True,-1.21
20,15.03333333,8.649330243257614,2.730377086365882,0.081125,4.64,22.70189892721596,34.28751842034744,-1.5348537297222213,True,-0.85
20,15.15,6.474411612839809,1.7682071226451594,0.0496,4.64,19.153718354674584,33.81249788922578,-1.2913501813765427,True,-0.85
20,15.53333333,6.2480620060544965,1.9064623383289077,0.04735,4.64,18.989512711874415,33.87844126349548,-1.7070109834732985,True,-1.21
20,15.63333333,5.983580982648973,1.6973674073186789,0.04485,4.64,18.69919137277273,33.891506584057346,-1.6485391030646752,True,-1.21
20,17.75,8.175186391311582,3.8409473094523956,0.075175,4.64,22.4358535053717,34.49094949926778,-2.218639937048753,True,-1.21
20,18.08333333,4.717451982509151,1.963515081705609,0.0358,4.64,19.184069705225273,35.29789681154788,-1.4467168864930124,True,-0.95
20,18.16666667,5.913442406237495,2.685350500733238,0.049175,4.64,20.8477154113394,35.314636611764264,-1.6273412088541077,True,-0.95
20,18.31666667,7.619555567551413,3.688673709374871,0.073275,4.64,23.269585525837705,35.22388682535598,-2.1747860267422854,True,-1.21
20,18.45,8.03908896614902,4.261438834588816,0.081125,4.64,24.019482590619198,35.25578959157944,-2.3355836978659994,True,-1.21
41,8.15,15.070192615115166,4.397131595711512,0.439,4.64,33.044467669245435,20.858814338518425,-1.2923756162100506,False,-0.2
41,8.233333333,15.256165378494718,4.820951881563786,0.55775,4.64,34.178372092365905,20.90772228472052,-1.3902002982587118,False,-0.2
41,8.366666667,14.535021478028103,2.5406738549701178,0.2455,4.64,29.934482297103347,20.90444281101279,-0.7727282728969469,False,-0.15
41,8.433333333,14.919255152289509,3.1426373900194813,0.348,4.64,32.09236074109825,20.848617079306738,-0.9202165480567501,False,-0.15
41,8.566666667,15.224691105346698,3.7688207612923144,0.485,4.64,33.80147531536584,20.84524099216871,-1.2811143861253727,False,-0.35
41,8.65,15.281495498604924,3.8214089196044623,0.526,4.64,34.18541471709115,20.86005485444405,-1.2971680824378788,False,-0.35
41,9.983333333,24.355190230860458,7.161139335779762,0.67,4.64,32.08549908140989,23.257738649814765,-2.009756617900233,False,-0.2
41,10.06666667,23.701875481075433,6.105007448283338,0.5185,4.64,30.596439072734203,23.477667329324092,-1.7325866854290262,False,-0.2
41,10.23333333,18.579774528003387,2.8413625602694355,0.17725,4.64,22.612809812211452,23.563832514528276,-0.838278617412415,True,-0.15
41,10.31666667,23.170038227891304,4.911588231655239,0.4025,4.64,29.57543631707892,23.454252724753786,-1.3626813735361596,False,-0.15
41,10.45,24.147963632526356,6.4671708258033185,0.6095,4.64,31.585701882096625,23.54981313889461,-1.987477023875655,False,-0.35
41,10.56666667,24.342887145918215,6.998353954026214,0.6385,4.64,32.074464165663926,23.55046857806738,-2.131960290688213,False,-0.35
41,12.93333333,21.063961879722296,6.32807731857732,0.384,4.64,29.678871298583026,28.568277937305712,-1.7814990264533568,False,-0.2
41,13.03333333,22.55956641316478,8.69211010633404,0.6135,4.64,32.09870583948777,28.417768742998945,-2.433663573444432,False,-0.2
41,13.16666667,21.589408986117594,7.116425377991157,0.4445,4.64,30.729646522132963,28.663216685018753,-1.9362468880465056,False,-0.15
41,13.3,20.791435888218547,6.294236745165377,0.3655,4.64,29.434415586151054,28.700854572016713,-1.7232082683712342,False,-0.15
41,13.46666667,22.653924675689858,8.660278467138063,0.62725,4.64,32.30899477087504,28.423451601394955,-2.597517483750899,False,-0.35
41,13.56666667,22.402067138627554,8.226524419946083,0.575,4.64,31.857700282258534,28.4489219921253,-2.4851416095633545,False,-0.35
41,15.63333333,16.026926289395565,7.8582498956862725,0.3985,4.64,31.973930945467153,33.313087498635866,-2.205405981997556,True,-0.2
41,15.73333333,18.98145790304338,8.280928748592745,0.4285,4.64,31.398412287961268,31.263852594866385,-2.319534777720994,False,-0.2
41,15.86666667,17.2756344179255,5.1648883663002,0.24325,4.64,27.983260820804304,30.92762449419301,-1.4282317180516277,True,-0.15
41,15.95,12.634623431424357,2.804929109893888,0.114,4.64,21.938037823274808,30.820016427554688,-0.838278617412415,True,-0.15
41,16.1,21.16199252501149,10.525912583868807,0.633,4.64,32.98776148366704,30.249395763741557,-3.1754505510011306,False,-0.35
41,16.21666667,20.56447808776047,8.277920753869152,0.443,4.64,31.085102001388314,29.880441540860073,-2.5011953058758607,False,-0.35
57,8.066666667,13.259847479059019,1.9012679221410465,0.344,4.64,32.62024993583534,15.300394662287086,-0.7679778942313005,False,-0.3
57,8.183333333,13.101199779393184,1.5243407362399142,0.29375,4.64,31.717359721571384,17.26774023710627,-0.6711548816317212,False,-0.3
57,8.333333333,13.392629516180389,1.9501238704858843,0.46775,4.64,34.251087615018356,16.52382168239784,-0.5300814000743723,False,-0.05
57,8.466666667,13.412248229698346,2.5666041466898766,0.4695,4.64,34.20673613329458,16.514833989153498,-0.6790721794077983,False,-0.05
