doy,hod,A(obs),E(obs),gs(obs),gb(obs),Ci(obs),Tleaf(obs),Pleaf(obs),Rublim(obs),Ps(obs)
[-],[h],[umol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[degC],[MPa],[-],[MPa]
20,8.2,15.550421423370713,2.468729882674437,0.156,4.64,22.97333532535947,17.089898828883044,-2.0372801737025026,True,-1.33
20,8.283333333,13.793252442582059,3.4559792170621044,0.3285,4.64,31.91996184902638,15.597834697847748,-2.0669426061336873,False,-1.08
20,8.383333333,13.049446550533437,1.9525865346845739,0.1282,4.64,22.795988028115126,15.9024755761105,-1.609578959388808,False,-1.08
20,8.5,13.969646599676,2.2381835847353777,0.17475,4.64,26.100406492581936,16.18468212923007,-1.8336564067601793,False,-1.2
20,8.583333332999999,12.284736904971256,1.3915125799959989,0.105,4.64,20.56730421250707,16.40909844353068,-1.575500092894921,False,-1.2
20,9.916666667000001,9.893235525386418,2.0437840289694864,0.07314,4.64,17.443535628482124,26.938295119614377,-1.7867188951483142,True,-1.2
20,10.0,7.841578307307747,1.5116665761489403,0.05325,4.64,15.557834173667764,27.037519218804476,-1.622437604506786,True,-1.2
20,10.18333333,9.199166433947338,1.8961124603705517,0.06652000000000001,4.64,16.88216882102934,27.154984880653316,-1.609578959388808,True,-1.08
20,10.35,10.58525784165888,2.3559499922550713,0.08195,4.64,18.255133078902936,27.11779393978231,-2.014464684228228,True,-1.33
20,10.4,11.545113594724386,2.63569045806303,0.093975,4.64,19.212242147107776,27.009270229765075,-2.105726642125325,True,-1.33
20,12.6,2.307180821929924,0.6500754334410477,0.01415,9.29,13.649901316973004,30.274404324425667,-1.5125239157941943,True,-1.33
20,12.83333333,1.8807454356640547,0.5476569230549717,0.0117,9.29,14.063669625898974,31.062639128683625,-1.2244306252878567,True,-1.08
20,12.96666667,2.454935558508436,0.7413547282131598,0.015425,9.29,14.303079631553217,31.44840969106385,-1.2725741670504758,True,-1.08
20,13.11666667,4.255894974257121,1.2368140767209563,0.0276,9.29,14.963867779403351,30.814822894121026,-1.5520313370889884,True,-1.2
20,13.21666667,1.3120423501101037,0.3996583195722642,0.008295,9.29,14.602758058195754,31.37267928500242,-1.3173437790296627,True,-1.2
20,15.03333333,1.254274785545303,0.44016993288649614,0.0080625,4.64,14.913118777826135,31.980421068746384,-1.3173437790296627,True,-1.2
20,15.16666667,1.3604933872914877,0.5590598831451424,0.0092675,4.64,16.27283646033735,35.068827012487894,-1.3642812906415278,True,-1.2
20,15.36666667,1.116791304431512,0.4796804118914337,0.0076925,4.64,16.604713681450463,35.39933315181043,-1.2003588544065473,True,-1.08
