site_spp,A(obs),E(obs),gs(obs),gb(obs),Ci(obs),Tleaf(obs),Pleaf(obs),Rublim(obs),Ps,PPFD,Tair,VPD,Patm,CO2,doy,hod,A,E,Ci,gs,gb,Tleaf,Pleaf
Corrigin_Eucalyptus_capillosa,12.678352816123835,3.0020119513200214,0.183,2.84,23.48257412719598,21.03799192991459,-4.038154328669059,True,-3.3,1700.0,20.87,1.7,98.83,34.83654825,89,9.0,10.9,3.0,23.811375,0.183,2.84,20.32,
Corrigin_Eucalyptus_capillosa,11.472212115212916,4.639222891456182,0.168,2.84,23.337588879074964,27.337742599588232,-4.5962710161993225,True,-3.3,2092.0,27.11,2.84,98.76,34.4768445,89,9.0,14.9,4.64,18.137175,0.168,2.84,26.76,
Corrigin_Eucalyptus_capillosa,6.949756572218058,4.332222993908838,0.169,2.84,28.300047275847827,26.714959126301984,-4.476245922106792,False,-3.3,268.0,26.8,2.7,98.76,35.0037345,89,9.0,9.72,4.45,23.9127,0.1689999999999999,2.84,26.07,
Corrigin_Eucalyptus_capillosa,13.577599640364658,3.9329990168212654,0.245,2.84,25.55362742078588,21.07220759496342,-4.332215809195756,True,-3.3,1701.0,20.92,1.7,98.83,34.799058,89,9.0,14.8,3.94,23.406075,0.245,2.84,20.34,
Corrigin_Eucalyptus_capillosa,12.54557221474088,3.1861550241748637,0.184,2.84,23.30514879588784,21.898458530486167,-4.895304394709697,True,-3.8,1495.0,21.76,1.8,98.83,34.482924,89,9.0,13.3,3.21,21.27825,0.184,2.84,21.04,
Corrigin_Eucalyptus_capillosa,4.702468442400877,2.921086681696526,0.173,2.84,30.28257472061568,21.778898408610576,-4.776474200944023,False,-3.8,147.0,21.84,1.78,98.82,34.72103775,89,9.0,10.6,2.98,23.406075,0.173,2.84,20.86,
Corrigin_Eucalyptus_capillosa,11.078410429883055,3.151226432803677,0.132,2.84,21.551311105783483,25.464156855590247,-3.940183953536815,True,-3.2,1758.0,25.27,2.43,98.77,35.09594025,89,9.0,12.4,3.18,18.2385,0.132,2.84,24.71,
Corrigin_Eucalyptus_capillosa,11.81985717912687,3.758092854376605,0.156,2.84,22.743215794202086,25.437686866096712,-4.119061742308212,True,-3.2,1915.0,25.23,2.47,98.77,35.05845,89,9.0,15.3,3.79,17.326575,0.156,2.84,24.92,
Corrigin_Eucalyptus_capillosa,8.236713893309728,2.5724653845060805,0.086,2.84,20.186357576395416,29.25531335041813,-4.626644826195998,True,-3.8,1286.0,29.12,3.01,98.7,35.4211935,89,11.5,12.2,2.61,10.74045,0.086,2.84,29.04,
Corrigin_Eucalyptus_capillosa,7.53460859926798,2.253745697038701,0.072,2.84,18.862663055216547,29.13420131803813,-4.502648102266599,True,-3.8,1639.0,28.93,3.12,98.69,35.4374055,89,11.5,9.72,2.28,11.855025,0.072,2.84,29.36,
Corrigin_Eucalyptus_capillosa,8.345567712914072,2.447328378634318,0.0858,2.84,19.65925146157104,28.72817728961048,-3.7489697655398047,True,-3.2,1730.0,28.51,2.85,98.68,35.12836425,89,11.5,10.8,2.47,13.17225,0.0858,2.84,28.23,
Corrigin_Eucalyptus_capillosa,6.883499635447485,1.7774107648856916,0.0624,2.84,17.596901227509175,28.640806414862325,-3.5824283759940214,True,-3.2,1224.0,28.5,2.84,98.66,35.0118405,89,11.5,9.24,1.8,9.48402,0.0624,2.84,28.14,
Corrigin_Eucalyptus_capillosa,3.7592192611415416,2.3042968157270494,0.0807,2.84,27.824266468767437,30.389200708468493,-3.840112923416384,False,-3.3,170.0,30.45,2.91,98.58,35.2104375,89,13.0,6.59,2.38,20.366325,0.0807,2.84,29.29,
Corrigin_Eucalyptus_capillosa,4.591489548539974,1.5551762479023743,0.0408,2.84,17.744358177375116,32.37658300449726,-4.254654654407799,True,-3.8,1941.0,32.09,3.73,98.49,35.36546475,89,13.0,6.23,1.57,8.9064675,0.0408,2.84,32.49,
Corrigin_Eucalyptus_capillosa,6.138906782750186,2.351134828377227,0.0655,2.84,20.381015022722536,32.32168684544345,-4.538813813412673,True,-3.8,1423.0,32.15,3.57,98.49,35.16686775,89,13.0,12.4,2.4,2.7864375,0.0655,2.84,31.92,
Corrigin_Eucalyptus_capillosa,5.295164722543792,1.872378490162038,0.0518,2.84,19.308803507855323,32.67096821782171,-3.6071011744452486,True,-3.2,1872.0,32.4,3.55,98.49,35.36951775,89,13.0,8.08,1.89,8.369444999999999,0.0518,2.84,31.85,
Corrigin_Eucalyptus_capillosa,5.665800773837526,1.844628044216204,0.0618,2.84,21.17443742034424,30.482275848766783,-3.6009329748324417,False,-3.2,353.0,30.5,3.01,98.55,35.62688325,89,13.0,3.25,1.9,25.432575,0.0618,2.84,29.72,
Corrigin_Eucalyptus_capillosa,10.783951770831672,1.8670990576540647,0.115,2.84,20.15698366667516,23.224780424942683,-3.6071011744452486,True,-3.2,1827.0,23.0,1.62,98.18,35.123298,306,8.0,10.5,1.87,19.0491,0.115,2.84,23.39,
Corrigin_Eucalyptus_capillosa,12.07161279128654,2.521989977619705,0.157,2.84,22.454914312084234,23.35918808768679,-3.767474364378225,True,-3.2,1736.0,23.16,1.63,98.19,34.88113125,306,8.0,12.1,2.53,20.974275,0.157,2.84,23.93,
Corrigin_Eucalyptus_capillosa,11.94403053243654,2.130886851586706,0.151,2.84,22.204984893374263,22.79705203441412,-3.798104140483999,True,-3.3,1556.0,22.62,1.43,98.22,34.969284,306,8.0,12.1,2.13,20.6703,0.151,2.84,22.85,
Corrigin_Eucalyptus_capillosa,10.483337217360262,1.6940714638312395,0.106,2.84,19.612464308493905,22.95763034359128,-3.684080301096096,True,-3.3,1836.0,22.73,1.59,98.23,35.362425,306,8.0,8.86,1.69,20.6703,0.106,2.84,23.28,
Corrigin_Eucalyptus_capillosa,2.82438066362648,1.58845056281329,0.128,2.84,31.592476540362604,22.3109038145488,-3.773395826972556,False,-3.4,93.0,22.35,1.28,98.2,35.12633775,306,8.0,9.87,1.62,21.582225,0.128,2.84,21.27,
