doy,hod,A(obs),A(std),A(pmax),E(obs),E(std),E(pmax),gs(obs),gs(std),gs(pmax),gb(obs),gb(std),gb(pmax),Ci(obs),Ci(std),Ci(pmax),Tleaf(obs),Tleaf(std),Tleaf(pmax),Pleaf(obs),Pleaf(std),Pleaf(pmax),Rublim(obs),Rublim(std),Rublim(pmax),Ps(obs),Ps(std),Ps(pmax)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[degC],[degC],[degC],[MPa],[MPa],[MPa],[-],[-],[-],[MPa],[MPa],[MPa]
20,8.8,14.316054892800187,14.403978035048564,14.270809407366531,2.3297992942157237,2.415961818139369,2.0786521707445216,0.38075,0.3970350565854735,0.33455669260987747,4.64,4.64,4.64,32.92642007755319,33.13285424005813,32.09428585164396,18.590843989526814,18.57710168395988,18.63133179763545,-2.023259242716717,-2.0634403117565343,-1.9428971046370815,False,False,False,-1.3,-1.3,-1.3
20,8.9,14.324605329361306,14.413779538184485,14.382022662714984,2.3292039563099016,2.4184508150342254,2.3328927208026773,0.37925,0.39605851543112913,0.38079858106759307,4.64,4.64,4.64,32.96419905487826,33.1796183833983,32.92568803436311,18.58602687524357,18.571790544399843,18.585417489233663,-2.023259242716717,-2.0634403117565343,-2.023259242716717,False,False,False,-1.3,-1.3,-1.3
20,9.083333332999999,12.263704615795868,14.29333807988526,14.202018689706744,1.151164031236613,2.890546092034136,2.662165438008329,0.1225,0.33568850309785997,0.3058452236427175,4.64,4.64,4.64,23.399439741362038,32.43728688411819,31.790882616803305,20.01303102375252,19.72873792439734,19.76467602726413,-1.7571070082930316,-2.312606798971081,-2.233249686017074,False,False,False,-1.4,-1.4,-1.4
20,9.15,13.961042963636814,14.348363058279709,14.277844372033213,2.0885578595946996,2.7235652617691732,2.5389050530908017,0.26525,0.3586118345071944,0.3312603836764442,4.64,4.64,4.64,30.509216403458204,32.49393955686723,31.974073171677276,19.251942143399464,19.150261091902976,19.179458009150192,-2.0348569036320563,-2.233249686017074,-2.1935711295400706,False,False,False,-1.4,-1.4,-1.4
20,9.316666667,14.034381038669213,14.057425288441344,14.089883257718476,3.3038069250150293,3.1677112023442837,3.2685497730274777,0.32625,0.3106498881786957,0.3220591218715617,4.64,4.64,4.64,32.16800764375212,31.81421811426172,32.0137367065596,21.57229566207289,21.59325823253635,21.577711532174277,-2.2170895400657917,-2.1764059584631603,-2.2170895400657917,False,False,False,-1.2,-1.2,-1.2
20,9.4,14.110802803384715,13.986351149408131,14.021667064297882,3.7232760653700523,3.165332478544013,3.2685497730274777,0.37325,0.3088205433698926,0.32045058724634873,4.64,4.64,4.64,32.94851341936188,31.768749509738182,31.980836606220937,21.912938952902824,21.997860206306807,21.981970766684743,-2.3798238664763183,-2.1764059584631603,-2.2170895400657917,False,False,False,-1.2,-1.2,-1.2
20,10.86666667,15.056201566410621,19.219695615152833,18.098507064874997,3.8961111994307234,7.163567643175048,5.692865523130069,0.16399999999999998,0.32855476619606777,0.2534408476134928,4.64,4.64,4.64,24.320674714839,29.461102854456474,27.430205497985735,28.250482943573505,27.689615316439525,27.935457641210135,-2.5456131402343454,-3.710864142389056,-3.148329175831609,True,False,True,-1.3,-1.3,-1.3
20,10.98333333,17.933446195151873,19.56901338207176,18.590921976850666,4.919201340845609,6.176867611385903,5.125289073518523,0.264,0.3476641484188234,0.2771145514517128,4.64,4.64,4.64,27.873114491652366,29.658151940203016,27.928729211749292,27.61583885424148,27.39695381222791,27.57944114850061,-2.8670616925528862,-3.30905345199088,-2.9474238306325216,True,False,False,-1.3,-1.3,-1.3
20,11.15,16.99970807654412,18.767024926905556,17.998755469190684,5.138058306408578,6.735778635416844,5.686842747196927,0.245,0.3331310582435215,0.27571008800667973,4.64,4.64,4.64,27.726484758614724,29.705728815722242,28.29031132294435,28.762927077550778,28.491316596209234,28.667804613270626,-3.066499372034148,-3.6616777191892007,-3.2648921544191656,True,False,False,-1.4,-1.4,-1.4
20,11.23333333,15.700138707775823,18.45627472705044,17.172752068208986,4.741152758618768,7.020212934384521,5.46850091530258,0.19899999999999998,0.31372983206923555,0.23649398270460414,4.64,4.64,4.64,26.18302986945122,29.271652393874877,27.10371912801192,29.026760972939318,28.63891924126457,28.899564298215175,-2.9474637026031374,-3.7807133886202116,-3.185535041465158,True,False,True,-1.4,-1.4,-1.4
20,11.38333333,15.375557566830018,17.307580823834833,16.616498893795864,5.487239643165183,7.041452317793437,6.147059363373852,0.21075,0.2823116826479118,0.2423972961424732,4.64,4.64,4.64,27.24951587705398,29.03029022312622,27.902067011536648,30.05387270067728,29.792662855706208,29.94100577335417,-2.9493940089131616,-3.518964151350005,-3.193495498528952,True,True,True,-1.2,-1.2,-1.2
20,11.46666667,16.499824259567145,17.785280724171724,16.797417036014227,5.929846120774432,7.032403310478699,5.806468135630169,0.24525,0.29723007832652953,0.23944648134923305,4.64,4.64,4.64,28.007738351594046,29.11151702064292,27.48707680519863,29.517548369957684,29.333864554408784,29.538484498057702,-3.112128335323688,-3.518964151350005,-3.0714447537210567,True,False,True,-1.2,-1.2,-1.2
20,13.45,9.597592599254316,14.605039826491343,14.043003382226427,3.3383247431355554,7.095963968392563,6.458832558996115,0.091775,0.21132162665769919,0.1899236622438393,4.64,4.64,4.64,22.81209945243069,28.236551859923168,27.498211228269227,32.49337500018362,31.842317080903516,31.949075257761947,-2.3447077950352577,-3.670683073349238,-3.4295966591103326,True,True,True,-1.3,-1.3,-1.3
20,13.55,12.662490683065974,14.569609937746163,13.894058261501538,5.0969825999863065,6.667817704488749,5.915232479241721,0.16425,0.22241232769052227,0.1942270101018506,4.64,4.64,4.64,26.898713589861565,28.611320287698216,27.682009361379414,32.27084700330186,32.00061522812279,32.12876303478005,-2.9474238306325216,-3.5099587971899675,-3.2286913139112445,True,True,True,-1.3,-1.3,-1.3
20,13.68333333,10.308723234827088,13.98812042696493,13.585401850337558,3.829057048039152,6.657545332215443,6.220548401987238,0.1105,0.20547168525490586,0.19014708231040423,4.64,4.64,4.64,24.59282909744971,28.440919806082345,27.923739675998775,32.85508643988412,32.3629895665888,32.4369749718201,-2.630035250787109,-3.6219991627121972,-3.463284936804183,True,True,True,-1.4,-1.4,-1.4
20,13.75,12.653784039363126,13.37872970420858,13.273911607417471,5.669287200212544,6.106032317189512,6.009191917494742,0.19025,0.20715406487512705,0.20338995181038497,4.64,4.64,4.64,28.439608076509234,28.65568572544517,28.544976546907108,32.927918442635985,32.85245143600826,32.869107504883026,-3.2648921544191656,-3.4236063803271795,-3.383927823850176,True,True,True,-1.4,-1.4,-1.4
20,13.93333333,10.753061227726544,13.661800344450464,13.560904844505567,4.121062062094003,6.356799181401455,6.259195176291128,0.126,0.20630709518723148,0.20261932545068426,4.64,4.64,4.64,25.813676200303327,28.724404398977658,28.625297590933226,33.07820283961142,32.686865924155924,32.70352921374952,-2.5018746112842134,-3.2748626617342147,-3.2341790801315833,True,True,True,-1.2,-1.2,-1.2
20,14.0,12.720748243722696,13.449767873564781,13.491664984106675,5.637401935250697,6.0831454836509655,6.147059363373852,0.192,0.20949298929024604,0.21205328543029775,4.64,4.64,4.64,28.664015505669084,28.898836617035343,28.99200194013372,32.96161347287715,32.884477980066755,32.8734770964887,-3.0307611721184253,-3.1528119169263205,-3.193495498528952,True,True,True,-1.2,-1.2,-1.2
20,15.85,9.612761707198803,9.531153199743926,10.109316250409226,5.968843308831889,5.256326992662366,6.134820497966967,0.14725,0.12989738395361794,0.15307788445522882,4.64,4.64,4.64,29.033774459524214,27.74175590929257,28.872113823973976,35.04262249111486,35.16318892978693,35.013790378690466,-3.2286913139112445,-2.987604899672339,-3.30905345199088,True,True,True,-1.3,-1.3,-1.3
20,15.93333333,10.680811519737409,9.26742117961663,9.92768605190055,7.589857150089751,5.146249135791797,6.134820497966967,0.1945,0.12691597655967551,0.1530447151043647,4.64,4.64,4.64,30.494228469969997,27.617000772080246,28.896048963063635,34.89493390080251,35.30566876043134,35.13725701985772,-3.871588418548326,-2.9474238306325216,-3.30905345199088,True,True,True,-1.3,-1.3,-1.3
20,16.11666667,8.890862633887558,8.505978287908668,9.36025783293915,6.0423241754646275,5.040264367672381,6.220548401987238,0.128,0.10603029560790905,0.13293794070675244,4.64,4.64,4.64,28.266756359600215,26.614857873502135,28.079550036036174,35.309629927361655,35.4789446010503,35.27929770982847,-3.383927823850176,-3.0268208155571443,-3.463284936804183,True,True,True,-1.4,-1.4,-1.4
20,16.21666667,6.962613779433452,8.060456259672126,8.764313753950173,4.2834247366424005,5.119401424078068,6.115230064718693,0.07905,0.09624365034918089,0.1163029319858874,4.64,4.64,4.64,25.620382352520686,26.2917370154125,27.53691304628275,35.83428935038287,35.69102747428896,35.523586192335564,-2.7887494766951235,-3.066499372034148,-3.4236063803271795,True,True,True,-1.4,-1.4,-1.4
20,16.85,9.278618575874482,7.713865952717223,9.073419242438842,7.673191511548595,4.846071742488331,6.808982221322903,0.1535,0.09372538759540545,0.13519280916837847,4.64,4.64,4.64,29.732528396068282,26.366183273225023,28.680727705782992,35.49403664321202,35.96487017882312,35.63525229790138,-3.763065640965795,-2.7459761009000037,-3.437596988144742,True,True,True,-1.2,-1.2,-1.2
20,18.66666667,9.108864355557095,7.814418594598228,8.738571434256384,7.16960260861446,4.776079584414878,6.134820497966967,0.152,0.09827521820061762,0.12833908956672366,4.64,4.64,4.64,29.82605800573561,26.764958207955175,28.52637357972774,35.61281450240274,35.99816081995589,35.77716646392371,-3.710864142389056,-2.826880623513069,-3.30905345199088,True,True,True,-1.3,-1.3,-1.3
20,18.73333333,7.93157225827837,8.044714877285763,9.152226496159894,5.335889055329415,5.023768767312054,6.671158079169043,0.1045,0.09857598779200302,0.13353362244614225,4.64,4.64,4.64,27.643665804638903,26.730314600130527,28.73405171439103,35.76819772966148,35.81896967056317,35.55330091741863,-3.0277859687121564,-2.9072427615927037,-3.5099587971899675,True,True,True,-1.3,-1.3,-1.3
20,18.85,7.586491566901968,8.002148500718624,8.9098105529266,5.0102036559986685,5.083830129811865,6.428993019598844,0.095225,0.09732090765677122,0.12495092745744114,4.64,4.64,4.64,26.926946107982815,26.501275093466838,28.16997639228651,35.79263708009525,35.780379954718036,35.56322977087097,-3.0268208155571443,-3.066499372034148,-3.5426420497581903,True,True,True,-1.4,-1.4,-1.4
20,18.93333333,5.513204050614432,7.955358210475025,8.810906078379475,2.8543732026675808,4.963679716787982,6.220548401987238,0.054175,0.09776815518960662,0.12428961844106895,4.64,4.64,4.64,23.533240529178954,26.657883895863144,28.272450174292874,36.21604779554168,35.86286463167079,35.65919371395715,-2.312606798971081,-2.987142259080141,-3.463284936804183,True,True,True,-1.4,-1.4,-1.4
20,19.11666667,9.402828979818972,8.34604069032416,9.214771380483754,6.8812799085565945,4.887696167687054,6.147059363373852,0.155,0.10737066521480827,0.13724423097970376,4.64,4.64,4.64,29.81968441019588,27.146600476959016,28.76798897842782,35.40363694649407,35.7256211250745,35.520650717375695,-3.4782805697473735,-2.7459761009000037,-3.193495498528952,True,True,True,-1.2,-1.2,-1.2
20,19.2,9.49641209860035,8.552481639055507,9.496395497083359,6.727679839151245,4.916044376924401,6.259195176291128,0.1555,0.11108340796115196,0.1440279431075421,4.64,4.64,4.64,29.779892990271716,27.28449300791794,29.019757194063928,35.32570955812423,35.61883604746725,35.4003749661399,-3.39691340654211,-2.7459761009000037,-3.2341790801315833,True,True,True,-1.2,-1.2,-1.2
41,8.833333332999999,14.118144647921243,14.143280856185273,14.332541144575906,3.0289916298095774,2.9178061279096,3.5455249519414793,0.3595,0.343970172656704,0.43272633519955045,4.64,4.64,4.64,32.63023053624221,32.33485031787605,33.591567517322616,21.31003637390349,21.327243729979767,21.231500869126915,-1.6071190327507423,-1.5639228883340404,-1.7799036104175505,False,False,False,-0.7,-0.7,-0.7
41,8.916666667000001,14.08318651917502,14.068218385168114,14.229997275670838,3.391144932196514,3.1524195825516808,3.683866559715526,0.35025,0.3216824119676079,0.3853617110221203,4.64,4.64,4.64,32.486890270165745,31.924700594988654,32.974638932152764,21.262009612011514,21.298682301601414,21.217617954608322,-1.7367074660008484,-1.6503151771674442,-1.8230997548342525,False,False,False,-0.7,-0.7,-0.7
41,9.033333333,14.220980939827891,14.183735409423816,14.261445587903095,3.299776424468452,3.006221518919732,3.243554439439334,0.37225,0.33374894957940443,0.36466163777608745,4.64,4.64,4.64,33.06795203132989,32.382576127672024,32.88929661059236,21.254199989572935,21.299367826715248,21.262794872414165,-1.7377324271117847,-1.6518426508411945,-1.7377324271117847,False,False,False,-0.75,-0.75,-0.75
41,9.116666667,14.342069875806752,14.243464703309249,14.20285782394306,3.4119873348097856,2.926047960965428,2.827832546455484,0.4105,0.3424598261314946,0.32956088188982224,4.64,4.64,4.64,33.62698531236938,32.56643671553415,32.29608548181219,21.111027456614455,21.185544534757025,21.200848388502983,-1.7806773152470796,-1.6518426508411945,-1.6088977627058996,False,False,False,-0.75,-0.75,-0.75
41,9.266666667,14.20231534570489,14.197353071798064,14.158286858493716,3.114947546902733,2.920011231660933,2.827832546455484,0.36775,0.3408720495993838,0.32880264369876666,4.64,4.64,4.64,33.048187274942514,32.564060302842535,32.30192338892751,21.091699288597706,21.121834837735882,21.13619523286616,-1.6947875389764897,-1.6518426508411945,-1.6088977627058996,False,False,False,-0.75,-0.75,-0.75
41,9.333333332999999,13.93703016227919,14.190870060868694,14.305381496172647,2.6238089807676026,3.0130852126897656,3.381447490175977,0.28325,0.3316056860292575,0.3792196294817583,4.64,4.64,4.64,31.438305812087194,32.45565150432633,33.226133584819195,21.086528860493324,21.025510636257746,20.96888851834529,-1.5659528745706046,-1.6518426508411945,-1.7806773152470796,False,False,False,-0.75,-0.75,-0.75
41,10.7,20.344313178320014,20.796182081892002,20.69253455313047,5.655026132272308,5.802420798072793,5.706064608180031,0.38925,0.4050911052264853,0.39377155741533915,4.64,4.64,4.64,30.42384327945684,30.55315998479131,30.32819278862508,24.964282649247945,24.937746233559263,24.955334354248684,-2.4710419210847827,-2.514238065501485,-2.4710419210847827,False,False,False,-0.7,-0.7,-0.7
41,10.78333333,20.448631881358338,20.78063029397135,20.604913264110042,5.813169304535384,5.780555169112707,5.5748097919456505,0.4035,0.4043119430540834,0.3837844225834313,4.64,4.64,4.64,30.730951420469328,30.6007589672682,30.21166788787949,25.130323333719716,25.13500207281825,25.171703306071855,-2.514238065501485,-2.514238065501485,-2.4278457766680805,False,False,False,-0.7,-0.7,-0.7
41,10.9,19.72921862734271,20.566033800401815,20.301082361122635,5.380123530649617,5.975792333840681,5.659621472412146,0.341,0.38995809047087326,0.3625158243513916,4.64,4.64,4.64,29.585117372468147,30.371913399253035,29.815944117359173,25.78300347816435,25.678805951067403,25.734203431052073,-2.4248506372765046,-2.5966301898176845,-2.5107404135470945,False,False,False,-0.75,-0.75,-0.75
41,10.98333333,19.83573727165661,20.60434587330648,20.247572965149377,5.322851512707464,5.83129139252648,5.399129045006038,0.35125,0.395642540069691,0.35761749852681024,4.64,4.64,4.64,29.856467813675785,30.528694711522046,29.772864843224056,25.87059080726147,25.78085845395971,25.857083314329664,-2.3819057491412092,-2.553685301682389,-2.4248506372765046,False,False,False,-0.75,-0.75,-0.75
41,11.15,20.221391561213537,20.726270521657867,20.575079322443482,5.6261349948628645,5.82868378667399,5.659621472412146,0.3795,0.3995650154592798,0.38249828745116526,4.64,4.64,4.64,30.349177434341705,30.553867318351113,30.23301803419571,25.34946478712819,25.313357418000827,25.343559904633093,-2.5107404135470945,-2.553685301682389,-2.5107404135470945,False,False,False,-0.75,-0.75,-0.75
41,11.23333333,20.352455154067552,20.806664172950676,20.584116262628203,5.65746730554388,5.806104526823933,5.5296615730633345,0.387,0.402809313135701,0.37674861901033996,4.64,4.64,4.64,30.466203043026564,30.5966217656662,30.085527547716598,24.99809832079829,24.971366721497617,25.020303089754957,-2.5107404135470945,-2.553685301682389,-2.467795525411799,False,False,False,-0.75,-0.75,-0.75
41,13.73333333,17.885938679344736,17.85941151995627,17.657634425268377,6.531379307547281,6.229939342060929,5.836739064948276,0.36225,0.33745460297367097,0.31628251488230863,4.64,4.64,4.64,31.03317465491091,30.42591688594191,29.954267714786745,29.818270433677917,29.87084669378579,29.93664524545886,-2.7302187875849953,-2.643826498751591,-2.514238065501485,False,False,False,-0.7,-0.7,-0.7
41,13.85,17.782537043648432,17.816788367546955,18.03544926825067,6.438159658155275,6.217919423787991,6.35336555209072,0.35475,0.33558951980733365,0.3491702564881737,4.64,4.64,4.64,30.99400512450301,30.477599450360056,30.712321192511293,29.897764952706275,29.936643391924413,29.912084876999717,-2.7302187875849953,-2.643826498751591,-2.6870226431682926,False,False,False,-0.7,-0.7,-0.7
41,13.96666667,17.37378974049255,17.433032914310164,17.310098488933015,6.401096600645768,6.20407254432645,5.917770647751701,0.33899999999999997,0.3226145742446443,0.308560748903205,4.64,4.64,4.64,30.878046657131527,30.38691756877937,30.06077813495404,30.22947410427096,30.264219251359066,30.311800336155994,-2.7684097423588643,-2.6825199660882744,-2.5966301898176845,False,False,False,-0.75,-0.75,-0.75
41,14.06666667,17.04909549904029,17.48767507818152,17.30241081036012,6.015846417609679,6.269557530334623,5.917770647751701,0.31,0.32211393959374485,0.30413397465478115,4.64,4.64,4.64,30.22152323217626,30.276526739245384,29.850363042269223,30.20971449137798,30.167734413462718,30.22646125732861,-2.6395750779529794,-2.7254648542235693,-2.5966301898176845,True,False,False,-0.75,-0.75,-0.75
41,14.2,17.263980370216355,17.10754444817774,17.139079955594433,6.604184971222672,6.1319991100985005,6.045933677499384,0.34975,0.31608889106986354,0.31441152166755487,4.64,4.64,4.64,31.151849311438852,30.350419662726004,30.276747057672306,30.458662186073838,30.539844781800124,30.553222582983086,-2.8113546304941592,-2.6825199660882744,-2.6395750779529794,False,False,False,-0.75,-0.75,-0.75
41,14.28333333,17.191062532920814,16.6704753066066,16.922417303488086,6.946606041219271,5.99451655260438,6.173471601758982,0.3745,0.3094173208205625,0.3242940191615803,4.64,4.64,4.64,31.66645044205638,30.36085975475755,30.644289620068886,30.754785975722005,30.91680551690554,30.884864569446613,-2.940189294900044,-2.6395750779529794,-2.6825199660882744,False,True,False,-0.75,-0.75,-0.75
41,16.38333333,16.304302581016998,16.44103305655445,16.759292648257116,6.56516439657164,6.403645354199143,6.734089476541792,0.2955,0.28496915204067863,0.30458105707548927,4.64,4.64,4.64,30.190045787924895,29.73844781658013,30.143584476822028,30.854021839329462,30.88178279967046,30.825839529562522,-2.773414932001697,-2.6870226431682926,-2.8166110764183987,True,True,True,-0.7,-0.7,-0.7
41,16.45,17.252672611479927,16.72179899668433,16.92450686887943,7.376691299918871,6.327799620284883,6.480937903450455,0.358,0.2951240720790616,0.306172884538998,4.64,4.64,4.64,31.369313931073876,29.99213272833184,30.215703797967915,30.56623721440504,30.74122139941192,30.71457734814475,-3.032591798501909,-2.6870226431682926,-2.7302187875849953,False,True,True,-0.7,-0.7,-0.7
41,16.61666667,16.059167706226184,16.100487919931258,16.55247818514769,6.69704236199999,6.406891276452491,6.924851701221964,0.2925,0.27597394933960195,0.30435823140450197,4.64,4.64,4.64,30.10928861301346,29.51364687965151,30.124404566734448,31.02753123526789,31.076603538251437,30.989749232272704,-2.854299518629454,-2.7684097423588643,-2.940189294900044,True,True,True,-0.75,-0.75,-0.75
