doy,hod,A(obs),A(std),A(pmax),E(obs),E(std),E(pmax),gs(obs),gs(std),gs(pmax),gb(obs),gb(std),gb(pmax),Ci(obs),Ci(std),Ci(pmax),Tleaf(obs),Tleaf(std),Tleaf(pmax),Pleaf(obs),Pleaf(std),Pleaf(pmax),Rublim(obs),Rublim(std),Rublim(pmax),Ps(obs),Ps(std),Ps(pmax)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[degC],[degC],[degC],[MPa],[MPa],[MPa],[-],[-],[-],[MPa],[MPa],[MPa]
20,8.016666667,11.099124643772162,15.028762792308227,15.132173671139435,0.6696000825794686,2.1146518043207143,2.3248915403892543,0.077725,0.26334172404852907,0.29296196201951663,4.64,4.64,4.64,16.904613548791414,30.338270998094465,31.15291092272909,15.835382169149154,15.591031975740414,15.556725789571216,-1.1312294289686702,-1.4936882869060109,-1.5389956441481785,False,False,False,-0.95,-0.95,-0.95
20,8.1,14.07088282131757,15.033555065293312,15.330766664577412,1.3092212262880643,2.0770406826805665,2.8470882021252795,0.162,0.26717324649760105,0.3816822051571377,4.64,4.64,4.64,25.612955331695773,30.42153421678047,32.929255578016395,15.555124040938946,15.426907728801432,15.30266195070324,-1.267151500695173,-1.4936882869060109,-1.674917715874681,False,False,False,-0.95,-0.95,-0.95
20,8.266666667,14.191367909076845,15.134998700027651,15.411710154657209,1.3058169394181125,2.127587272013413,2.897220500763453,0.17325,0.29538157021969996,0.4209290774125487,4.64,4.64,4.64,26.10591464743632,30.923794491256547,33.22419804747219,16.137670239488582,16.000632390701476,15.877232930515447,-1.1706690886348716,-1.3997184376597798,-1.5829579168797063,False,False,False,-0.85,-0.85,-0.85
20,8.366666667,13.778135051053992,15.118611710591582,15.303025995829614,1.0792406809350708,2.070818043983065,2.5431226202233344,0.14725,0.29888702950180274,0.37800082347206043,4.64,4.64,4.64,24.392772428229158,31.143965581961226,32.69885994789658,15.835509530206364,15.668974439493857,15.592494699622419,-1.1248592188298898,-1.353908567854798,-1.4913381772697432,False,False,False,-0.85,-0.85,-0.85
20,8.533333333,13.993566402391133,14.812286198793583,15.236700965224648,1.345123903941337,1.83412985490787,2.547919859965374,0.16325,0.22827801739268616,0.32986951190605823,4.64,4.64,4.64,25.434885252705413,28.701935400825995,31.602720265458295,17.366556993891148,17.28466207901951,17.16850802646006,-1.5620065966308079,-1.694009070367361,-1.8700123686827648,False,False,False,-1.21,-1.21,-1.21
20,8.616666667,14.329825520250884,14.86222800269321,15.309477596076649,1.4265499029326534,1.758095047029562,2.547919859965374,0.1875,0.23533547601367655,0.35743608372687424,4.64,4.64,4.64,26.940126958872234,29.02145816301233,32.18625473886083,17.203002873321843,17.147441033361453,17.018792245267612,-1.5620065966308079,-1.65000824578851,-1.8700123686827648,False,False,False,-1.21,-1.21,-1.21
20,10.0,13.966221268052397,21.5831840955208,21.777442180725686,2.779760005216074,6.450189362691307,6.57826749314392,0.1125,0.28479879162976984,0.2935778864034193,4.64,4.64,4.64,19.380773128622266,26.79313282150084,27.052168922292555,26.780680498540324,26.139214453270423,26.117213007116796,-1.5371480470747247,-2.544965182784321,-2.5907750525893025,True,False,False,-0.85,-0.85,-0.85
20,10.16666667,13.368292924205845,21.47668804745883,21.315468520234138,2.6441076790406832,6.481895924885684,6.2622655338611155,0.1055,0.2830177422673784,0.27399483050774814,4.64,4.64,4.64,18.87526108256171,26.662210249650172,26.355199216301898,26.872045014719944,26.20101421861096,26.23726509436901,-1.5371480470747247,-2.544965182784321,-2.4991553129793393,True,False,False,-0.85,-0.85,-0.85
20,10.31666667,10.249198710070253,20.78407138096296,21.095005465739316,1.9976411932304239,6.372284865046121,6.603926342947556,0.071,0.2484942230146793,0.26022617389380287,4.64,4.64,4.64,16.488631978004328,25.759494930407072,26.174498283741773,27.266440719305493,26.50006198543772,26.461052176146904,-1.4483809296638432,-2.6263722179602,-2.7169869324445353,True,False,False,-0.95,-0.95,-0.95
20,10.4,11.86802472717898,21.012019753374705,21.072148978398275,2.2629388940482116,6.13436712429008,6.142216262830719,0.087325,0.25876286099741314,0.2608880561469909,4.64,4.64,4.64,17.782328413310168,26.146812294722125,26.181102071492713,27.19205044376286,26.5103254342049,26.508487091186417,-1.5389956441481785,-2.5810648607180324,-2.5810648607180324,True,False,False,-0.95,-0.95,-0.95
20,10.56666667,14.827038555035745,19.8554895071689,21.267809897671132,3.0383032068889424,5.046973275357276,6.114362474049792,0.12725,0.22240259695308745,0.2788060062253466,4.64,4.64,4.64,20.494824783281725,24.641694912361448,26.6264419225855,27.179211944835707,26.822214967884,26.638839515817523,-2.002014842419318,-2.5740255619443806,-2.8820313339963377,True,True,False,-1.21,-1.21,-1.21
20,10.65,15.699863050815392,19.764549901464765,21.1435354501609,3.4210457746081935,5.091981424738298,6.114362474049792,0.142,0.2204409439639095,0.27335102944111334,4.64,4.64,4.64,21.313042777491173,24.48797141350693,26.406735099802404,27.094656781612958,26.799589014997707,26.624234665174704,-2.09001649157702,-2.5740255619443806,-2.8820313339963377,True,True,False,-1.21,-1.21,-1.21
20,12.76666667,12.502492807745263,15.367963564224748,17.064509003126645,4.363786611106608,5.908902521374548,7.500683346473462,0.1275,0.17961444182536462,0.23533426892085804,4.64,4.64,4.64,23.649482256442184,25.51121799489594,27.521753082348678,32.02891533700656,31.759637262608138,31.492195435064044,-1.9494368753195594,-2.407535573369376,-2.8656342714191925,True,True,True,-0.85,-0.85,-0.85
20,12.93333333,5.868899765948035,14.326978876757812,16.424396169251576,1.6948291513024014,5.734944671835819,7.643616914067751,0.0412,0.15041419804041617,0.20684221221975377,4.64,4.64,4.64,17.221251855332305,24.371878771204628,26.83561950132429,32.66009850640615,31.945600273864752,31.62679161816387,-1.3577662151795082,-2.44514278899153,-3.0341384331397085,True,True,True,-0.95,-0.95,-0.95
20,13.01666667,5.835738378640473,14.168430636229155,15.663625502944805,1.7159286900371764,5.738438571022196,7.05609301964692,0.040999999999999995,0.1477348503818906,0.18540014510310798,4.64,4.64,4.64,17.26327315597667,24.29636339520186,26.071756151640287,32.729514512464974,32.0191813649963,31.79802851307423,-1.4030735724216759,-2.44514278899153,-2.852909004171038,True,True,True,-0.95,-0.95,-0.95
20,13.18333333,10.051718085149883,13.272461265515938,16.661568922859615,2.97860682097391,4.321926696019573,6.960013401184476,0.08825,0.13285908840967756,0.22601635037503096,4.64,4.64,4.64,21.321109051261075,23.39012357663463,27.425432272541,32.41609638376099,32.17344212408319,31.718315792355217,-2.002014842419318,-2.354021439050126,-3.146036281469444,True,True,True,-1.21,-1.21,-1.21
20,13.26666667,11.344520026045378,13.629479232524222,16.612055961138438,3.429283144990719,4.316057096301405,6.541984290310748,0.10725,0.13890399565221356,0.22110144207221716,4.64,4.64,4.64,22.47500406400821,23.575607478466846,27.130998920359406,32.17560169667604,32.01523590061681,31.628245578780543,-2.09001649157702,-2.354021439050126,-3.0140338077328908,True,True,True,-1.21,-1.21,-1.21
