doy,hod,A(std),A(std_gmin),A(pmax),A(pmax_gmin),E(std),E(std_gmin),E(pmax),E(pmax_gmin),gs(std),gs(std_gmin),gs(pmax),gs(pmax_gmin),gb(std),gb(std_gmin),gb(pmax),gb(pmax_gmin),gmin(std),gmin(std_gmin),gmin(pmax),gmin(pmax_gmin),Ci(std),Ci(std_gmin),Ci(pmax),Ci(pmax_gmin),Tleaf(std),Tleaf(std_gmin),Tleaf(pmax),Tleaf(pmax_gmin),Pleaf(std),Pleaf(std_gmin),Pleaf(pmax),Pleaf(pmax_gmin),k(std),k(std_gmin),k(pmax),k(pmax_gmin),Rublim(std),Rublim(std_gmin),Rublim(pmax),Rublim(pmax_gmin),Ps(std),Ps(std_gmin),Ps(pmax),Ps(pmax_gmin)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[mol m-2 s-1],[Pa],[Pa],[Pa],[Pa],[degC],[degC],[degC],[degC],[MPa],[MPa],[MPa],[MPa],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[mmol m-2 s-1 MPa-1],[-],[-],[-],[-],[MPa],[MPa],[MPa],[MPa]
1,12,20.109148482410525,20.332407653478317,19.549801463470427,19.549801463470427,4.952589097714162,5.45987273212977,3.9875491135704055,3.9875491135704055,0.4139848658826047,0.4667161209577545,0.32367947113132917,0.32367947113132917,4.64,4.64,4.64,4.64,,0.0015221346067038639,,0.0015269287935638055,32.700535949437544,33.488813735428174,30.83512942152935,30.83512942152935,24.599884999518025,24.517866070383704,24.760060108372784,24.760060108372784,-2.987142259080141,-3.185535041465158,-2.6697138072641127,-2.6697138072641127,,,2.9668430506729573,2.9668430506729573,False,False,False,False,-1.4,-1.4,-1.4,-1.4
2,12,20.08407190823092,20.3131555837649,19.089204963601407,19.089204963601407,4.901843148328057,5.411534749220762,3.4808273276138726,3.4808273276138726,0.4088455963440845,0.4615993754925165,0.2765104169574196,0.2765104169574196,4.64,4.64,4.64,4.64,,0.0015223552483496256,,0.0015293541379270549,32.614119406961564,33.41937207348132,29.463859704202832,29.463859704202832,24.60818516160025,24.525604675679038,24.847110738877554,24.847110738877554,-3.5724697148319926,-3.7582996831466584,-3.0521458035509283,-3.0521458035509283,,,2.8236236838969626,2.8236236838969626,False,False,False,False,-1.9,-1.9,-1.9,-1.9
3,12,20.06376525958698,20.297612231791373,18.708583849485326,18.708583849485326,4.861575962632455,5.373188210031389,3.156466747689465,3.156466747689465,0.4047834286921797,0.4575555963702667,0.24731482269572505,0.24731482269572505,4.64,4.64,4.64,4.64,,0.0015225302930232257,,0.0015309347192067498,32.544452831322126,33.363507809145155,28.415231217763644,28.415231217763644,24.61478387769451,24.53175505211968,24.903766806357158,24.903766806357158,-4.057797170583845,-4.303888774465582,-3.3898342457619837,-3.3898342457619837,,,2.6787587876049206,2.6787587876049206,False,False,False,False,-2.3,-2.3,-2.3,-2.3
4,12,20.04839066473383,20.285871746681295,18.49214723950598,18.49214723950598,4.831567011820742,5.344616452497159,2.9945591528327657,2.9945591528327657,0.40176520276698735,0.45455138206111584,0.23302546619720338,0.23302546619720338,4.64,4.64,4.64,4.64,,0.0015226607230942372,,0.0015317318859135055,32.491891422240194,33.32142915645368,27.850582649889283,27.850582649889283,24.61970873152467,24.53634417911983,24.932319127138598,24.932319127138598,-4.450662314777907,-4.719849560563786,-3.6767489831435096,-3.6767489831435096,,,2.5435817300012635,2.5435817300012635,False,False,False,False,-2.6,-2.6,-2.6,-2.6
5,12,20.038071545128318,20.278005134941523,18.234331589470504,18.234331589470504,4.811651911098921,5.325657931405822,2.8232831736989206,2.8232831736989206,0.3997664597407829,0.4525620867217962,0.2181115567943433,0.2181115567943433,4.64,4.64,4.64,4.64,,0.001522747271265018,,0.0015325811250698634,32.45670204177551,33.29329113057659,27.205266624216563,27.205266624216563,24.622980443891134,24.53939232464703,24.96272019727445,24.96272019727445,-4.725959455258786,-5.019749880637244,-3.8445881791234093,-3.8445881791234093,,,2.4599819742141062,2.4599819742141062,False,False,False,False,-2.8,-2.8,-2.8,-2.8
6,12,16.48433752575824,17.034009771166847,14.37340153401975,14.37340153401975,4.939888550668807,5.722717528313355,3.09334567291403,3.09334567291403,0.28438332255557225,0.33888541792536025,0.16789922240637759,0.16789922240637759,4.64,4.64,4.64,4.64,,0.001696593714080612,,0.001708884728977257,31.301329567375046,32.509926141670874,26.940521927685243,26.940521927685243,30.623770965221354,30.49836242496522,30.935005127442242,30.935005127442242,-5.1197698166225525,-5.594345148702229,-4.20225750793518,-4.20225750793518,,,2.2725556939432505,2.2725556939432505,False,False,False,False,-3.0,-3.0,-3.0,-3.0
7,12,0.5254466525163259,1.1496839415008866,1.0639324217766177,1.0639324217766177,0.3015349899255183,2.3653312440443166,1.9130177552820053,1.9130177552820053,0.006577981484428149,0.05485544331489426,0.04343566271882913,0.04343566271882913,4.64,4.64,4.64,4.64,,0.026781679200449438,,0.027495590479445386,28.307391205236858,37.630177713880535,37.031778983284475,37.031778983284475,46.59936156535658,46.22182731466059,46.30295465123239,46.30295465123239,-3.616503170631632,-4.490276950368873,-4.286396401763517,-4.286396401763517,,,2.2269356772747178,2.2269356772747178,True,True,True,True,-3.5,-3.5,-3.5,-3.5
8,12,0.3460510189698616,0.8621938397186368,0.7776359601580485,0.7776359601580485,0.2041931858930412,2.1052108316522253,1.5175061523717626,1.5175061523717626,0.004215394729424784,0.045999145200937154,0.032352188201391636,0.032622159506759146,4.64,4.64,4.64,4.64,,0.03164322012888776,,0.032622159506759146,27.964438988931896,37.992021125980195,37.12260410057851,37.12260410057851,47.6359973218955,47.28662193515359,47.39287187927649,47.39287187927649,-4.079839689531513,-5.011302734065833,-4.69194397593978,-4.69194397593978,,,2.001310882036416,2.001310882036416,True,True,True,True,-4.0,-4.0,-4.0,-4.0
9,12,0.21650213874250562,0.6405498453549316,0.5383024997238597,0.5383024997238597,0.13129091534141496,1.8658308106816948,0.9952519079487608,0.9952519079487608,0.002567528460274107,0.038445326263208075,0.0198688215330159,0.03885886985800886,4.64,4.64,4.64,4.64,,0.037379868334760306,,0.03885886985800886,27.61657496904599,38.330659369043026,36.63797461333367,36.63797461333367,48.66932805964005,48.349301025544435,48.50815167597375,48.50815167597375,-4.572302001089302,-5.536328682279995,-5.006114007625114,-5.006114007625114,,,1.822751510351149,1.822751510351149,True,True,True,True,-4.5,-4.5,-4.5,-4.5
